step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.799441058101747,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9608369451801027,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.678837033339136,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8092007088697291,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,2,4.0,0.3333333333333333,6.637118968574555,0,0.0,1.0,0,0.0,1.0,2,4.0,0.4438371495716062,0,0.0,1.0,0,0.0,1.0,2,4.0
25.0,3,19.0,1.1875,9.583167071585091,0,0.0,1.0,0,0.0,1.0,3,19.0,0.678553383788942,0,0.0,1.0,0,0.0,1.0,3,19.0
30.0,3,34.0,2.125,7.080668278852626,0,0.0,1.0,0,0.0,1.0,3,34.0,0.3892626011383805,0,0.0,1.0,0,0.0,1.0,3,34.0
35.0,5,52.0,4.0,5.151903214981401,0,0.0,1.0,0,0.0,1.0,4,49.0,0.001795713405973478,0,0.0,1.0,0,0.0,1.0,4,49.0
40.0,3,64.0,4.923076923076923,7.7596040715841506,0,0.0,1.0,0,0.0,1.0,3,64.0,0.3893768804241044,0,0.0,1.0,0,0.0,1.0,3,64.0
45.0,3,79.0,6.076923076923077,7.572588838477272,0,0.0,1.0,0,0.0,1.0,3,79.0,0.4743256856019005,0,0.0,1.0,0,0.0,1.0,3,79.0
50.0,5,100.0,5.882352941176471,6.2986708443583295,0,0.0,1.0,0,0.0,1.0,5,100.0,0.44875648847091465,0,0.0,1.0,0,0.0,1.0,5,100.0
55.0,6,127.0,6.35,6.0547918905703195,0,0.0,1.0,0,0.0,1.0,6,127.0,0.31167520166921553,0,0.0,1.0,0,0.0,1.0,6,127.0
60.0,8,165.0,9.705882352941176,5.352162463388523,0,0.0,1.0,0,0.0,1.0,8,165.0,0.28846377440085547,0,0.0,1.0,0,0.0,1.0,8,165.0
65.0,8,205.0,12.058823529411764,4.679292581820728,0,0.0,1.0,0,0.0,1.0,8,205.0,0.1155231770667335,0,0.0,1.0,0,0.0,1.0,8,205.0
70.0,9,248.0,14.588235294117647,5.000926696189712,0,0.0,1.0,0,0.0,1.0,9,248.0,0.25120624033016326,0,0.0,1.0,0,0.0,1.0,9,248.0
75.0,10,297.0,15.631578947368421,4.526239510969923,0,0.0,1.0,0,0.0,1.0,10,297.0,0.2791770250124465,0,0.0,1.0,0,0.0,1.0,10,297.0
80.0,11,349.0,18.36842105263158,4.280845117869135,0,0.0,1.0,0,0.0,1.0,11,349.0,0.20920739851094095,0,0.0,1.0,0,0.0,1.0,11,349.0
85.0,12,404.0,20.2,2.64964099735967,0,0.0,1.0,0,0.0,1.0,12,404.0,0.09787825781195321,0,0.0,1.0,0,0.0,1.0,12,404.0
90.0,14,464.0,20.17391304347826,4.043606264628613,0,0.0,1.0,0,0.0,1.0,14,464.0,0.22402110520281152,0,0.0,1.0,0,0.0,1.0,14,464.0
95.0,15,534.0,21.36,3.7581839426013572,0,0.0,1.0,0,0.0,1.0,15,534.0,0.20764120864566246,0,0.0,1.0,0,0.0,1.0,15,534.0
100.0,15,609.0,21.75,4.415672177024242,0,0.0,1.0,0,0.0,1.0,15,609.0,0.23550580727334083,0,0.0,1.0,0,0.0,1.0,15,609.0
105.0,16,685.0,22.096774193548388,5.66834373997185,0,0.0,1.0,0,0.0,1.0,16,685.0,0.33420391199626437,0,0.0,1.0,0,0.0,1.0,16,685.0
110.0,17,766.0,23.9375,4.85735828778064,0,0.0,1.0,0,0.0,1.0,16,765.0,0.2808821582955078,0,0.0,1.0,0,0.0,1.0,16,765.0
115.0,17,848.0,28.266666666666666,3.713271621145121,0,0.0,1.0,0,0.0,1.0,17,848.0,0.11730378276336256,0,0.0,1.0,0,0.0,1.0,17,848.0
120.0,17,928.0,30.933333333333334,4.243923686304874,0,0.0,1.0,0,0.0,1.0,17,930.0,0.17385771759330845,0,0.0,1.0,0,0.0,1.0,17,930.0
125.0,17,1013.0,34.93103448275862,4.043975395451637,0,0.0,1.0,0,0.0,1.0,17,1013.0,0.12303375487664317,0,0.0,1.0,0,0.0,1.0,17,1013.0
130.0,17,1098.0,42.23076923076923,3.407788324919314,0,0.0,1.0,0,0.0,1.0,17,1098.0,0.13226106643205254,0,0.0,1.0,0,0.0,1.0,17,1098.0
135.0,18,1186.0,45.61538461538461,3.0427551767582246,0,0.0,1.0,0,0.0,1.0,18,1186.0,0.14716890108434075,0,0.0,1.0,0,0.0,1.0,18,1186.0
140.0,19,1280.0,49.23076923076923,2.5968387048142287,0,0.0,1.0,0,0.0,1.0,19,1280.0,0.14602984190386475,0,0.0,1.0,0,0.0,1.0,19,1280.0
145.0,20,1380.0,47.58620689655172,3.342132600349055,0,0.0,1.0,0,0.0,1.0,20,1380.0,0.17959380670298003,0,0.0,1.0,0,0.0,1.0,20,1380.0
150.0,20,1480.0,51.03448275862069,3.0709762798242735,0,0.0,1.0,0,0.0,1.0,20,1480.0,0.11026156892426682,0,0.0,1.0,0,0.0,1.0,20,1480.0
155.0,20,1580.0,54.48275862068966,1.9153418523870414,0,0.0,1.0,0,0.0,1.0,20,1580.0,0.047959015739276044,0,0.0,1.0,0,0.0,1.0,20,1580.0
160.0,21,1681.0,56.03333333333333,3.444211997260614,0,0.0,1.0,0,0.0,1.0,20,1680.0,0.15020170594045895,0,0.0,1.0,0,0.0,1.0,20,1680.0
165.0,20,1780.0,61.37931034482759,2.949311300801117,0,0.0,1.0,0,0.0,1.0,20,1780.0,0.11460330924458217,0,0.0,1.0,0,0.0,1.0,20,1780.0
170.0,20,1880.0,60.645161290322584,4.177478414148005,0,0.0,1.0,0,0.0,1.0,20,1880.0,0.18992423456075627,0,0.0,1.0,0,0.0,1.0,20,1880.0
