step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.466798605564398,0,0.0,1.0,0,0.0,1.0,0,0.0,0.992298081271979,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,8.900097689899654,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7509881343302633,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,7.0,0.5833333333333334,9.178226275662892,0,0.0,1.0,0,0.0,1.0,2,7.0,0.6596793597876353,0,0.0,1.0,0,0.0,1.0,2,7.0
20.0,2,17.0,1.2142857142857142,7.7774749711197755,0,0.0,1.0,0,0.0,1.0,2,17.0,0.5433160047337064,0,0.0,1.0,0,0.0,1.0,2,17.0
25.0,3,29.0,2.230769230769231,6.537939906334078,0,0.0,1.0,0,0.0,1.0,3,29.0,0.3806365819208687,0,0.0,1.0,0,0.0,1.0,3,29.0
30.0,5,49.0,3.2666666666666666,5.814597178061494,0,0.0,1.0,0,0.0,1.0,5,49.0,0.340858877131393,0,0.0,1.0,0,0.0,1.0,5,49.0
35.0,6,79.0,6.076923076923077,4.592334871456252,0,0.0,1.0,0,0.0,1.0,6,79.0,0.2630135034953759,0,0.0,1.0,0,0.0,1.0,6,79.0
40.0,7,112.0,8.615384615384615,5.253302973972517,0,0.0,1.0,0,0.0,1.0,7,112.0,0.2960854443902428,0,0.0,1.0,0,0.0,1.0,7,112.0
45.0,8,148.0,11.384615384615385,4.437767425502819,0,0.0,1.0,0,0.0,1.0,8,148.0,0.19163787024980444,0,0.0,1.0,0,0.0,1.0,8,148.0
50.0,8,188.0,14.461538461538462,4.440279571733744,0,0.0,1.0,0,0.0,1.0,8,188.0,0.1891023261429471,0,0.0,1.0,0,0.0,1.0,8,188.0
55.0,8,228.0,15.2,4.953042838846089,0,0.0,1.0,0,0.0,1.0,8,228.0,0.27816603761186914,0,0.0,1.0,0,0.0,1.0,8,228.0
60.0,8,268.0,17.866666666666667,4.638690548651835,0,0.0,1.0,0,0.0,1.0,8,268.0,0.2422935765663336,0,0.0,1.0,0,0.0,1.0,8,268.0
65.0,9,310.0,17.22222222222222,5.520558693512357,0,0.0,1.0,0,0.0,1.0,9,310.0,0.2995691570201319,0,0.0,1.0,0,0.0,1.0,9,310.0
70.0,9,355.0,16.904761904761905,5.814489667595493,0,0.0,1.0,0,0.0,1.0,9,355.0,0.3634328598545041,0,0.0,1.0,0,0.0,1.0,9,355.0
75.0,10,403.0,20.15,3.976923720681311,0,0.0,1.0,0,0.0,1.0,10,403.0,0.1676489800057313,0,0.0,1.0,0,0.0,1.0,10,403.0
80.0,12,460.0,20.90909090909091,4.556190298245473,0,0.0,1.0,0,0.0,1.0,12,460.0,0.20499686084179375,0,0.0,1.0,0,0.0,1.0,12,460.0
85.0,12,520.0,26.0,3.3045632519906496,0,0.0,1.0,0,0.0,1.0,12,520.0,0.011645457596271242,0,0.0,1.0,0,0.0,1.0,12,520.0
90.0,13,584.0,24.333333333333332,5.088672069892092,0,0.0,1.0,0,0.0,1.0,13,584.0,0.30932879729283147,0,0.0,1.0,0,0.0,1.0,13,584.0
