step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.48265328284595,0,0.0,0.9602003427296841,0,0.0
10.0,0,0.0,0.0,10.898777699669049,0,0.0,0.8620116416671539,0,0.0
15.0,0,0.0,0.0,8.461374968069585,0,0.0,0.5891871537823006,0,0.0
20.0,2,10.0,1.0,8.420425895445637,2,10.0,0.4958008923306618,2,10.0
25.0,0,0.0,0.0,8.587960333659886,0,0.0,0.5743345239161641,0,0.0
30.0,1,5.0,0.3333333333333333,10.912120098151176,1,5.0,0.721407461865383,1,5.0
35.0,2,15.0,1.0,7.6925760890783215,2,15.0,0.4817685973418476,2,15.0
40.0,2,25.0,1.7857142857142858,7.674695041725308,2,25.0,0.37965517297416423,2,25.0
45.0,1,1.0,0.07142857142857142,7.714235174919094,1,17.0,0.5145140737552538,1,17.0
50.0,1,4.0,0.26666666666666666,9.424024281065549,1,5.0,0.6501866301436482,1,5.0
55.0,1,2.0,0.15384615384615385,8.860070483015889,1,3.0,0.49531061110500174,1,3.0
60.0,2,12.0,1.0909090909090908,8.88313761384044,2,13.0,1.527981848252595e-05,2,13.0
65.0,2,22.0,3.6666666666666665,9.178726599053931,2,23.0,0.48937784291654807,2,23.0
70.0,0,0.0,0.0,8.737300112659003,0,13.0,0.6905973743095292,0,13.0
75.0,2,5.0,0.4166666666666667,8.727782563845688,2,5.0,0.5663526204178163,2,5.0
80.0,2,2.0,0.125,8.419509904953996,1,4.0,0.6419674755568958,1,4.0
85.0,1,6.0,0.3333333333333333,8.060140180198625,1,7.0,0.5262784995440077,1,7.0
90.0,5,24.0,1.263157894736842,5.874053287877439,2,12.0,0.39211227657367737,2,12.0
95.0,2,4.0,0.21052631578947367,4.527590498915509,2,13.0,0.29940448407830694,2,13.0
100.0,8,25.0,1.0869565217391304,4.321189682945305,7,28.0,0.22392650447841106,7,28.0
105.0,6,23.0,1.0454545454545454,4.7064776354793025,5,44.0,0.29521030341983256,5,44.0
110.0,3,20.0,0.9090909090909091,5.110282648793992,3,46.0,0.1763273286919778,3,46.0
115.0,3,10.0,0.47619047619047616,6.675642884593758,3,38.0,0.2990409824418674,3,38.0
120.0,8,35.0,1.9444444444444444,4.474047166158647,8,59.0,0.19399888473211663,8,59.0
125.0,5,17.0,0.9444444444444444,4.952877355013882,5,65.0,0.22578236089858048,5,65.0
130.0,4,17.0,0.9444444444444444,6.328003961214615,4,57.0,0.3077557323856086,4,57.0
135.0,4,26.0,1.2380952380952381,6.1870425512723894,4,51.0,0.4395048247748152,4,51.0
140.0,5,43.0,1.9545454545454546,5.264047807284902,5,52.0,0.30206502603684776,5,52.0
145.0,6,11.0,0.4782608695652174,4.470834378459484,6,45.0,0.18532460506641796,6,45.0
150.0,10,55.0,2.75,3.6005079633993438,10,64.0,0.16356253594948153,10,64.0
155.0,3,5.0,0.19230769230769232,5.250846603811459,2,55.0,0.3081557402698294,2,55.0
160.0,2,7.0,0.25,6.76086547154626,1,32.0,0.4602830500635413,1,32.0
165.0,4,18.0,0.6428571428571429,5.487174175670169,4,22.0,0.29263912699134764,4,22.0
170.0,5,35.0,1.4583333333333333,4.855323840804154,4,34.0,0.16516802973277017,4,34.0
175.0,7,60.0,2.608695652173913,4.892319650832919,6,59.0,0.19462320613398384,6,59.0
180.0,5,81.0,3.6818181818181817,7.233090282226326,5,82.0,0.3838813781179881,5,82.0
185.0,8,112.0,6.222222222222222,5.167606851257414,8,113.0,0.10833424305997917,8,113.0
190.0,5,26.0,1.625,5.39948288413893,5,87.0,0.22790612581995148,5,87.0
195.0,5,32.0,2.4615384615384617,5.632281352455767,4,46.0,0.25796812908942846,4,46.0
200.0,4,6.0,0.46153846153846156,5.696298512770571,3,39.0,0.40283176153093575,3,39.0
205.0,3,20.0,1.3333333333333333,7.370101992494572,3,36.0,0.38625865283193694,3,36.0
210.0,0,0.0,0.0,8.311327089096514,0,22.0,0.5675763616844063,0,22.0
215.0,3,9.0,0.47368421052631576,7.120589274778367,3,9.0,0.48020410035710714,3,9.0
220.0,1,2.0,0.09523809523809523,5.56618792470662,1,10.0,0.33825386829805465,1,10.0
225.0,5,19.0,0.9047619047619048,5.605341714373167,3,16.0,0.31201775858723707,3,16.0
230.0,4,10.0,0.47619047619047616,6.669313947584917,4,24.0,0.3479987775398828,4,24.0
235.0,6,35.0,1.5909090909090908,7.041965084755364,6,39.0,0.3868946164708734,6,39.0
240.0,1,3.0,0.15,5.1059640578499375,1,28.0,0.3060374767320915,1,28.0
