step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.246974941040389,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9497983294026926,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,11.098706983505926,0,0.0,1.0,0,0.0,1.0,0,0.0,0.907556538061665,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,11.8945158532173,0,0.0,1.0,0,0.0,1.0,0,0.0,0.822685387288837,0,0.0,1.0,0,0.0,1.0,0,0.0
20.0,0,0.0,0.0,10.957577129739581,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8141081319870563,0,0.0,1.0,0,0.0,1.0,0,0.0
25.0,0,0.0,0.0,10.840742563178837,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7494855627901853,0,0.0,1.0,0,0.0,1.0,0,0.0
30.0,1,3.0,0.2727272727272727,10.178553722487392,0,0.0,1.0,0,0.0,1.0,1,3.0,0.6845605934767335,0,0.0,1.0,0,0.0,1.0,1,3.0
35.0,1,8.0,0.6666666666666666,8.938424005913502,0,0.0,1.0,0,0.0,1.0,1,8.0,0.6906455735698,0,0.0,1.0,0,0.0,1.0,1,8.0
40.0,3,14.0,0.875,8.45300147581204,0,0.0,1.0,0,0.0,1.0,3,14.0,0.5745545529567515,0,0.0,1.0,0,0.0,1.0,3,14.0
45.0,3,26.0,1.5294117647058822,6.672414607287756,0,0.0,1.0,0,0.0,1.0,3,26.0,0.44190374191076764,0,0.0,1.0,0,0.0,1.0,3,26.0
50.0,4,45.0,2.25,7.111751482676091,0,0.0,1.0,0,0.0,1.0,4,45.0,0.44531582491804406,0,0.0,1.0,0,0.0,1.0,4,45.0
55.0,7,73.0,3.8421052631578947,5.992462559788291,0,0.0,1.0,0,0.0,1.0,7,73.0,0.3561485203147411,0,0.0,1.0,0,0.0,1.0,7,73.0
60.0,8,112.0,5.333333333333333,5.815573050274716,0,0.0,1.0,0,0.0,1.0,8,112.0,0.3112191482151196,0,0.0,1.0,0,0.0,1.0,8,112.0
65.0,8,152.0,7.238095238095238,5.494783359381207,0,0.0,1.0,0,0.0,1.0,8,152.0,0.26617215345085726,0,0.0,1.0,0,0.0,1.0,8,152.0
70.0,10,196.0,8.166666666666666,5.730305116024986,0,0.0,1.0,0,0.0,1.0,9,195.0,0.34769659674466724,0,0.0,1.0,0,0.0,1.0,9,195.0
75.0,10,244.0,10.608695652173912,4.47693603117676,0,0.0,1.0,0,0.0,1.0,10,244.0,0.037562210614241136,0,0.0,1.0,0,0.0,1.0,10,244.0
80.0,12,302.0,14.380952380952381,5.50722573318166,0,0.0,1.0,0,0.0,1.0,12,302.0,0.24077175411255308,0,0.0,1.0,0,0.0,1.0,12,302.0
85.0,12,362.0,18.1,4.320720922091212,0,0.0,1.0,0,0.0,1.0,12,362.0,0.16150463702074547,0,0.0,1.0,0,0.0,1.0,12,362.0
90.0,12,422.0,20.095238095238095,4.518754122710754,0,0.0,1.0,0,0.0,1.0,12,422.0,0.17609924292906656,0,0.0,1.0,0,0.0,1.0,12,422.0
95.0,13,487.0,24.35,3.8410839467320046,0,0.0,1.0,0,0.0,1.0,13,487.0,0.14202866236113354,0,0.0,1.0,0,0.0,1.0,13,487.0
100.0,13,552.0,26.285714285714285,4.05707719297433,0,0.0,1.0,0,0.0,1.0,13,552.0,0.2559905389160731,0,0.0,1.0,0,0.0,1.0,13,552.0
105.0,15,622.0,24.88,4.783741434276522,0,0.0,1.0,0,0.0,1.0,14,621.0,0.31457005433112867,0,0.0,1.0,0,0.0,1.0,14,621.0
110.0,14,691.0,24.678571428571427,4.260311022847842,0,0.0,1.0,0,0.0,1.0,14,691.0,0.23007946392174564,0,0.0,1.0,0,0.0,1.0,14,691.0
115.0,15,762.0,27.214285714285715,5.207986097043293,0,0.0,1.0,0,0.0,1.0,15,762.0,0.15159459415904922,0,0.0,1.0,0,0.0,1.0,15,762.0
120.0,16,840.0,35.0,2.8790231905332,0,0.0,1.0,0,0.0,1.0,16,840.0,0.07507015657040768,0,0.0,1.0,0,0.0,1.0,16,840.0
125.0,18,923.0,40.130434782608695,2.8300711530744076,0,0.0,1.0,0,0.0,1.0,18,923.0,0.09861736823876309,0,0.0,1.0,0,0.0,1.0,18,923.0
130.0,18,1013.0,48.23809523809524,1.5802027355128136,0,0.0,1.0,0,0.0,1.0,18,1013.0,0.09565545813185168,0,0.0,1.0,0,0.0,1.0,18,1013.0
