step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.543826256491608,0,0.0,0.973414704099819,0,0.0
10.0,0,0.0,0.0,10.454742504399228,0,0.0,0.8207032496146844,0,0.0
15.0,4,7.0,0.5384615384615384,7.666916873538256,4,7.0,0.4195908802888162,4,7.0
20.0,1,4.0,0.25,8.945346009600195,1,8.0,0.6775540428565986,1,8.0
25.0,4,16.0,1.0666666666666667,6.2701933193451875,4,16.0,0.27310048499661826,4,16.0
30.0,3,3.0,0.16666666666666666,5.240615594134302,2,15.0,0.3282737344020097,2,15.0
35.0,2,12.0,0.5,9.023463731758168,2,15.0,0.6233923414517611,2,15.0
40.0,4,28.0,1.12,7.643595101545473,4,28.0,0.49521438698099285,4,28.0
45.0,4,10.0,0.45454545454545453,4.710777248676281,4,25.0,0.1289820282126601,4,25.0
50.0,5,26.0,1.4444444444444444,3.9746262909187218,5,36.0,0.1157001324878424,5,36.0
55.0,4,9.0,0.47368421052631576,5.0566955597694765,4,33.0,0.2118780438417166,4,33.0
60.0,7,29.0,1.6111111111111112,5.979171734282372,7,49.0,0.3359360166254532,7,49.0
65.0,7,59.0,3.4705882352941178,5.484433873152646,6,68.0,0.36120386330451765,6,68.0
70.0,6,88.0,4.4,5.577009325883739,6,99.0,0.32894997882792065,6,99.0
75.0,7,120.0,6.0,5.023893352196408,7,130.0,0.28758346577640526,7,130.0
80.0,3,27.0,1.35,4.960286411317768,3,102.0,0.21235512721179195,3,102.0
85.0,4,16.0,0.7619047619047619,7.008970817149013,4,47.0,0.3893003704759753,4,47.0
90.0,2,8.0,0.36363636363636365,7.6518970497019145,2,51.0,0.4218894755588718,2,51.0
95.0,5,16.0,0.8,7.003116893215359,5,51.0,0.3792741099180038,5,51.0
100.0,7,46.0,2.7058823529411766,6.026570665309643,6,73.0,0.27734798881527956,6,73.0
105.0,2,16.0,1.1428571428571428,6.578543153370669,2,51.0,0.31651342106315017,2,51.0
110.0,1,5.0,0.45454545454545453,7.483364709206222,1,22.0,0.2842693500247644,1,22.0
115.0,2,4.0,0.36363636363636365,7.705783959469323,2,21.0,0.4669223891246905,2,21.0
120.0,3,14.0,1.0769230769230769,9.182432771415998,3,31.0,0.6241437417993354,3,31.0
125.0,2,24.0,1.8461538461538463,8.34578073597207,2,41.0,0.5346703658295253,2,41.0
130.0,2,3.0,0.2,8.064556998723194,2,22.0,0.5215287290300344,2,22.0
135.0,3,13.0,0.8125,6.428158542500869,3,13.0,0.38174904184004704,3,13.0
140.0,3,4.0,0.25,6.2383666021933815,2,5.0,0.3703892427853146,2,5.0
145.0,2,10.0,0.625,8.786198606448952,2,10.0,0.6058142526297003,2,10.0
150.0,3,6.0,0.375,7.880321947598788,3,12.0,0.3514397471278597,3,12.0
155.0,5,25.0,1.6666666666666667,6.843589030511938,5,25.0,0.3549126753895813,5,25.0
160.0,0,0.0,0.0,7.6917263930811925,0,8.0,0.5854842234083804,0,8.0
165.0,3,4.0,0.23529411764705882,8.361908023272145,2,3.0,0.5499015932053017,2,3.0
170.0,2,6.0,0.3157894736842105,8.354303098940612,2,6.0,0.5535476696404856,2,6.0
175.0,7,35.0,2.0588235294117645,5.21123583016251,7,35.0,0.2554054430308932,7,35.0
180.0,1,1.0,0.0625,5.5880647668215495,0,32.0,0.4024990969714659,0,32.0
185.0,0,0.0,0.0,6.4253393708239095,0,10.0,0.22804486374886093,0,10.0
190.0,2,9.0,0.5625,7.320419735417452,2,9.0,0.4124876265540743,2,9.0
195.0,2,19.0,1.1875,8.687957205155596,2,19.0,0.6045020607449357,2,19.0
200.0,3,4.0,0.23529411764705882,7.334368305051505,3,16.0,0.4905405661172317,3,16.0
205.0,4,22.0,1.2941176470588236,4.312145329172262,4,22.0,0.20516388496671706,4,22.0
210.0,3,3.0,0.15789473684210525,5.735482348725543,2,12.0,0.3402536100234284,2,12.0
215.0,2,9.0,0.47368421052631576,7.879479061150569,2,12.0,0.5433011971593042,2,12.0
220.0,2,19.0,1.0555555555555556,8.526150247894115,2,19.0,0.5669752290049099,2,19.0
225.0,2,5.0,0.29411764705882354,8.394926630818377,2,16.0,0.42718315216305186,2,16.0
230.0,6,28.0,1.75,5.329008521493606,6,28.0,0.20695912321114873,6,28.0
235.0,0,0.0,0.0,6.018406850169302,0,18.0,0.40074072899379737,0,18.0
240.0,3,10.0,0.5555555555555556,7.690390570109494,3,10.0,0.3918636008050719,3,10.0
245.0,2,10.0,0.5555555555555556,7.278718890239641,2,22.0,0.4051575719099882,2,22.0
250.0,5,32.0,1.8823529411764706,5.331164330789527,5,32.0,0.3156270192779903,5,32.0
255.0,5,9.0,0.47368421052631576,3.912593891838693,4,20.0,0.23557757660854786,4,20.0
260.0,3,18.0,0.9473684210526315,6.1641984738555236,3,36.0,0.27708689984080104,3,36.0
265.0,3,8.0,0.4,4.516323936310613,3,43.0,0.2892951781024161,3,43.0
270.0,7,39.0,1.95,4.390848038439996,7,57.0,0.2085358431899333,7,57.0
275.0,7,30.0,1.6666666666666667,3.327209390436304,7,64.0,0.07936879892333347,7,64.0
280.0,4,16.0,0.7619047619047619,4.585664029882476,4,70.0,0.18386338054778417,4,70.0
285.0,3,20.0,0.8695652173913043,7.830492006040219,2,66.0,0.5007748773109086,2,66.0
290.0,4,33.0,1.434782608695652,5.41743103229131,4,60.0,0.27601809683733,4,60.0
295.0,5,13.0,0.5909090909090909,4.781065653048831,5,53.0,0.24168999447451747,5,53.0
300.0,13,53.0,2.409090909090909,4.205123969958158,13,82.0,0.1576936264557,13,82.0
305.0,5,26.0,1.368421052631579,3.7555216594924685,4,88.0,0.2192970800512651,4,88.0
310.0,3,12.0,0.6,5.730281528299483,3,74.0,0.2535667567773719,3,74.0
315.0,4,7.0,0.3888888888888889,4.5920398358682215,4,68.0,0.16985349666526198,4,68.0
320.0,10,41.0,2.411764705882353,3.1937225740960278,10,102.0,0.12629701382133057,10,102.0
325.0,4,23.0,1.2777777777777777,4.0084558494504545,4,92.0,0.24042495445726653,4,92.0
330.0,3,5.0,0.23809523809523808,5.64648415436795,3,52.0,0.29891162274224803,3,52.0
335.0,5,22.0,1.0476190476190477,4.849719666676997,5,72.0,0.26420720641058726,5,72.0
340.0,12,68.0,3.4,3.6373504734623054,12,115.0,0.17802663751512346,12,115.0
345.0,9,55.0,2.2,3.3635161941482887,9,120.0,0.19554744240658686,9,120.0
350.0,5,19.0,0.6785714285714286,4.934664397763268,4,103.0,0.28779396356768366,4,103.0
355.0,1,1.0,0.03333333333333333,4.315956004093726,0,104.0,0.201904220825323,0,104.0
360.0,8,24.0,0.8888888888888888,3.884509134525234,8,119.0,0.1601395496330502,8,119.0
365.0,9,21.0,0.8076923076923077,2.7413711631590987,9,112.0,0.10309032097590358,9,112.0
370.0,5,19.0,0.6785714285714286,4.650559035640571,4,118.0,0.2163149302089531,4,118.0
375.0,5,24.0,0.8888888888888888,4.435494909965004,5,126.0,0.2074149264845902,5,126.0
380.0,15,79.0,2.925925925925926,3.6690411975792334,15,172.0,0.09570731003571849,15,172.0
385.0,18,162.0,6.230769230769231,2.5302867274571668,18,255.0,0.13560914657024858,18,255.0
390.0,11,115.0,4.2592592592592595,3.323902024455543,11,261.0,0.16964073591443232,11,261.0
395.0,1,2.0,0.06451612903225806,5.739697448584193,1,208.0,0.2981118558271295,1,208.0
400.0,5,10.0,0.3448275862068966,4.027306381749651,5,216.0,0.18960023949833701,5,216.0
405.0,15,62.0,2.2962962962962963,2.5680785495302882,15,268.0,0.08725877860923033,15,268.0
410.0,11,50.0,1.9230769230769231,2.282958934655075,10,253.0,0.1475195413598074,10,253.0
415.0,5,11.0,0.3548387096774194,4.398741906784566,4,223.0,0.19199207768206655,4,223.0
420.0,2,7.0,0.21875,4.0626585468102245,2,166.0,0.21172207029194154,2,166.0
425.0,4,7.0,0.21875,4.451587187530422,4,176.0,0.1848395358237167,4,176.0
430.0,10,40.0,1.2903225806451613,4.362079548004926,10,199.0,0.15768262508567601,10,199.0
435.0,12,41.0,1.28125,4.3127581226460325,11,183.0,0.25229842152850845,11,183.0
440.0,10,31.0,0.9393939393939394,4.222440674973826,9,155.0,0.1889315516907142,9,155.0
445.0,6,16.0,0.47058823529411764,3.8885960857763964,6,182.0,0.1886655319563505,6,182.0
450.0,10,31.0,0.9117647058823529,3.3970944962868015,10,216.0,0.1503230465172015,10,216.0
455.0,9,31.0,0.9393939393939394,3.018973646360705,9,201.0,0.11514482466691062,9,201.0
460.0,7,23.0,0.696969696969697,4.007744404706572,6,193.0,0.17691316230989265,6,193.0
465.0,1,1.0,0.03125,4.5304229921704025,0,170.0,0.23613868051364742,0,170.0
470.0,7,21.0,0.65625,3.369741687810658,7,185.0,0.13798298587639257,7,185.0
475.0,12,71.0,2.1515151515151514,3.372200583185996,12,235.0,0.12392704066584768,12,235.0
480.0,13,57.0,1.6285714285714286,3.034773579361667,13,217.0,0.14345490783272422,13,217.0
485.0,8,34.0,1.0,3.9612524470842025,8,223.0,0.19138041430036667,8,223.0
490.0,3,15.0,0.45454545454545453,4.2009650682027315,3,195.0,0.1538202490257487,3,195.0
495.0,6,16.0,0.47058823529411764,4.462143630692944,6,206.0,0.20986515227182195,6,206.0
500.0,10,50.0,1.3888888888888888,3.796054948514496,10,233.0,0.1858726307382626,10,233.0
505.0,12,48.0,1.2307692307692308,3.1549208932335304,12,224.0,0.1857948073606752,12,224.0
510.0,11,41.0,1.1081081081081081,2.8341732469274845,10,206.0,0.10865094276496426,10,206.0
515.0,4,10.0,0.2564102564102564,3.3166841824297273,4,221.0,0.13213397811653732,4,221.0
520.0,12,54.0,1.4210526315789473,4.081472361848542,12,250.0,0.18195560380726966,12,250.0
525.0,11,33.0,0.9428571428571428,2.545356053899579,11,240.0,0.08928809605275963,11,240.0
530.0,7,20.0,0.5555555555555556,2.9719071433418836,5,212.0,0.1303388044725997,5,212.0
535.0,3,28.0,0.7777777777777778,3.8568553203589704,3,201.0,0.1715970360162125,3,201.0
540.0,4,46.0,1.3142857142857143,4.39219476290368,4,166.0,0.18936537960790767,4,166.0
545.0,7,10.0,0.3125,3.663677636122109,6,151.0,0.14662405333556194,6,151.0
550.0,15,62.0,2.066666666666667,2.1639130852280033,14,183.0,0.07394213595247488,14,183.0
555.0,13,50.0,1.5625,3.212833555650734,12,193.0,0.18268170824309607,12,193.0
560.0,5,22.0,0.6666666666666666,4.850648735845544,4,163.0,0.2170723437742947,4,163.0
565.0,6,12.0,0.375,4.254918121781518,6,166.0,0.20404082180657934,6,166.0
570.0,14,64.0,1.8823529411764706,4.114748075657427,14,197.0,0.14287173072114873,14,197.0
575.0,13,64.0,1.8823529411764706,4.158617888438623,12,206.0,0.20276997565493804,12,206.0
580.0,2,12.0,0.35294117647058826,4.687809643630685,2,136.0,0.20389401888208258,2,136.0
585.0,1,4.0,0.12903225806451613,3.9818011376933864,1,125.0,0.1840193520613697,1,125.0
590.0,3,13.0,0.4642857142857143,4.205137041109786,3,100.0,0.17753833611093345,3,100.0
595.0,9,30.0,1.0714285714285714,3.4877224956233843,9,117.0,0.1484450346306535,9,117.0
600.0,16,97.0,3.2333333333333334,2.6414642888705493,16,184.0,0.07647216069558181,16,184.0
605.0,9,47.0,1.6785714285714286,2.7214341944680114,8,176.0,0.1366465248200641,8,176.0
610.0,1,2.0,0.06451612903225806,5.1109137526691955,1,114.0,0.22626453800258425,1,114.0
615.0,1,2.0,0.06896551724137931,5.30673666569411,0,72.0,0.2621016129097337,0,72.0
620.0,2,2.0,0.06896551724137931,6.503841789968486,2,53.0,0.27627456679598766,2,53.0
625.0,2,5.0,0.20833333333333334,4.345004925831844,1,34.0,0.17473041848320156,1,34.0
630.0,4,7.0,0.3333333333333333,3.9689396037441558,3,45.0,0.1335281643172453,3,45.0
635.0,8,32.0,1.7777777777777777,2.7011517634506514,8,73.0,0.016945687664195356,8,73.0
640.0,7,29.0,1.6111111111111112,3.1681314750285168,7,83.0,0.1274704233092933,7,83.0
645.0,1,1.0,0.05263157894736842,4.690644760297208,0,71.0,0.23992799431255604,0,71.0
650.0,2,7.0,0.3181818181818182,6.028840018130982,2,80.0,0.34803257861523895,2,80.0
655.0,7,31.0,1.4761904761904763,3.249889755857317,7,104.0,0.1642858775071019,7,104.0
660.0,5,27.0,1.125,4.109538890218568,5,109.0,0.18521288192878838,5,109.0
665.0,0,0.0,0.0,6.633002405832163,0,104.0,0.3977950501345092,0,104.0
670.0,4,9.0,0.32142857142857145,5.391990603378226,3,69.0,0.2959066661312305,3,69.0
675.0,5,7.0,0.2692307692307692,3.5671735267537303,5,87.0,0.11381779664543903,5,87.0
680.0,10,40.0,1.7391304347826086,2.3136589687843783,10,120.0,0.07064314030472048,10,120.0
685.0,16,110.0,5.238095238095238,2.591193904990152,16,183.0,0.04033657109754183,16,183.0
690.0,7,52.0,2.3636363636363638,4.150301142943859,6,171.0,0.22093319270044184,6,171.0
695.0,4,6.0,0.2608695652173913,5.2263196801873155,4,133.0,0.22088298274026363,4,133.0
700.0,4,10.0,0.43478260869565216,5.21929738537665,4,88.0,0.2317858898123676,4,88.0
705.0,3,24.0,1.2,6.350156988697307,3,61.0,0.31143485026038203,3,61.0
710.0,5,41.0,2.2777777777777777,5.2949692209457915,5,66.0,0.17306786062424365,5,66.0
715.0,3,5.0,0.2631578947368421,7.333047064483971,3,51.0,0.4783544129401549,3,51.0
720.0,4,23.0,1.2105263157894737,6.717066591981245,4,49.0,0.3352028065644552,4,49.0
725.0,1,1.0,0.05263157894736842,8.021156084409801,1,24.0,0.5394474415976322,1,24.0
730.0,2,3.0,0.15789473684210525,7.37013879962597,2,4.0,0.3626918870154203,2,4.0
735.0,3,11.0,0.5789473684210527,6.822727840724458,3,12.0,0.38884559962013454,3,12.0
740.0,2,4.0,0.2222222222222222,4.621377722486326,2,9.0,0.26495852696656,2,9.0
745.0,9,38.0,1.7272727272727273,4.781642351535745,8,39.0,0.275948572953698,8,39.0
750.0,4,7.0,0.3181818181818182,4.651947998307395,4,44.0,0.30321536874772,4,44.0
755.0,6,23.0,0.8846153846153846,5.589425774730072,5,40.0,0.3312611811722057,5,40.0
760.0,4,41.0,1.64,4.463133009443732,4,59.0,0.2679741192989058,4,59.0
765.0,7,65.0,2.1666666666666665,6.5825212211051785,6,73.0,0.3803960921303149,6,73.0
770.0,6,20.0,0.6896551724137931,4.8421530769278665,6,65.0,0.19765495316538506,6,65.0
775.0,12,59.0,2.185185185185185,4.255124124653589,12,69.0,0.17271846463403975,12,69.0
780.0,6,28.0,1.037037037037037,3.5473364281206665,6,84.0,0.18893946273685916,6,84.0
785.0,7,35.0,1.2962962962962963,4.614390460409988,5,67.0,0.2222691007614087,5,67.0
790.0,6,58.0,2.0714285714285716,4.631320190982186,6,92.0,0.22640775360980722,6,92.0
795.0,7,22.0,0.7333333333333333,4.752408318520485,7,87.0,0.2328134780424219,7,87.0
800.0,13,77.0,2.75,3.7585629290510765,13,103.0,0.14376006097930683,13,103.0
805.0,9,44.0,1.5714285714285714,3.586452865414409,8,110.0,0.16619415813538757,8,110.0
810.0,7,24.0,0.8571428571428571,4.811886541301987,5,82.0,0.2373311413772955,5,82.0
815.0,9,54.0,2.0,3.845497320198245,9,107.0,0.13876526179089085,9,107.0
820.0,11,101.0,4.04,4.181790923289634,10,140.0,0.07735911153867914,10,140.0
825.0,8,73.0,3.3181818181818183,4.187056288845583,7,155.0,0.17334600412412196,7,155.0
830.0,8,29.0,1.2083333333333333,4.488121320217252,8,152.0,0.2577139535799253,8,152.0
835.0,5,12.0,0.5,5.098805263381386,4,171.0,0.3174680275001591,4,171.0
840.0,4,21.0,0.9130434782608695,5.222058844882656,4,165.0,0.284308171896911,4,165.0
845.0,10,28.0,1.2173913043478262,4.5462790842858425,10,171.0,0.13839408708550646,10,171.0
850.0,9,47.0,2.35,4.0500761010172,9,168.0,0.19086545631571633,9,168.0
855.0,9,87.0,4.142857142857143,4.892220193722547,9,164.0,0.25003880058630706,9,164.0
860.0,4,6.0,0.3,4.6551847614154385,3,115.0,0.27482840865058533,3,115.0
865.0,5,26.0,1.4444444444444444,5.293618230075845,5,53.0,0.11882196908751133,5,53.0
870.0,2,4.0,0.23529411764705882,6.555785800064554,2,42.0,0.22905238457339264,2,42.0
875.0,3,19.0,1.3571428571428572,8.622003714009512,3,21.0,0.4676848386184484,3,21.0
880.0,0,0.0,0.0,6.027197744499445,0,2.0,0.34164842361551057,0,2.0
885.0,0,0.0,0.0,9.222538885156702,0,3.0,0.5881216380994829,0,3.0
890.0,1,1.0,0.08333333333333333,9.931124625520555,1,1.0,0.6976496168793688,1,1.0
895.0,1,6.0,0.6666666666666666,9.464709531941113,1,6.0,0.6597058966699372,1,6.0
900.0,1,11.0,0.7857142857142857,10.788735213603298,1,11.0,0.724832930685756,1,11.0
905.0,1,16.0,1.3333333333333333,8.62467154944355,1,16.0,0.6201778989145461,1,16.0
910.0,3,24.0,1.7142857142857142,7.37514071104848,3,24.0,0.4927930606253925,3,24.0
915.0,1,6.0,0.5,7.221577393065076,1,15.0,0.523867266295277,1,15.0
920.0,4,18.0,1.2,5.780094318882432,4,18.0,0.3819583785249455,4,18.0
925.0,0,0.0,0.0,7.519248942777671,0,4.0,0.5771596879643662,0,4.0
930.0,2,6.0,0.3157894736842105,8.750060046985574,2,6.0,0.5709421887101217,2,6.0
935.0,2,6.0,0.3333333333333333,7.4948652334822805,2,15.0,0.4519642006279864,2,15.0
940.0,6,23.0,1.15,6.486716359952472,6,27.0,0.3990143953643771,6,27.0
945.0,1,1.0,0.05263157894736842,6.203299380653705,0,15.0,0.37479613574160053,0,15.0
950.0,2,6.0,0.35294117647058826,6.047420254153,1,13.0,0.22729293325155997,1,13.0
955.0,2,5.0,0.35714285714285715,6.3578251990880315,2,14.0,0.25617786085493116,2,14.0
960.0,4,24.0,1.8461538461538463,7.337318173916386,4,32.0,0.34842614027536345,4,32.0
965.0,6,50.0,3.125,3.834626895586662,6,58.0,0.19150113727683848,6,58.0
970.0,1,1.0,0.06666666666666667,6.3776655425634,0,22.0,0.5267786477973397,0,22.0
975.0,2,5.0,0.29411764705882354,6.880164508244816,2,5.0,0.31883158698469044,2,5.0
980.0,5,11.0,0.7333333333333333,5.964963987392596,5,13.0,0.2936155930728142,5,13.0
985.0,7,41.0,3.1538461538461537,3.73088794979557,7,43.0,0.14963068240150423,7,43.0
990.0,1,7.0,0.4117647058823529,4.747331580297874,1,37.0,0.3848126830673658,1,37.0
995.0,2,3.0,0.15789473684210525,7.14363042776088,1,10.0,0.5178034669655486,1,10.0
1000.0,0,0.0,0.0,6.17975837761166,0,12.0,0.17119755423222702,0,12.0
1005.0,7,19.0,1.3571428571428572,5.983807557489627,7,32.0,0.17684424925224923,7,32.0
1010.0,7,54.0,4.5,2.538381540752311,7,67.0,0.10081502217506108,7,67.0
1015.0,0,0.0,0.0,6.297925193154011,0,45.0,0.4624962508678215,0,45.0
1020.0,3,4.0,0.2857142857142857,6.8264489858941735,3,25.0,0.24009982140657776,3,25.0
1025.0,4,13.0,0.8666666666666667,5.749971663301654,3,26.0,0.28367736672219857,3,26.0
1030.0,2,21.0,1.4,7.029131083397322,2,22.0,0.48546431023798875,2,22.0
1035.0,2,31.0,1.8235294117647058,7.974759936235944,2,31.0,0.4962426114351775,2,31.0
1040.0,3,9.0,0.5294117647058824,5.540417455887306,3,10.0,0.25917697549647606,3,10.0
1045.0,5,31.0,1.55,6.811879755960264,5,31.0,0.402364705839255,5,31.0
1050.0,2,6.0,0.3,6.179192328863704,2,27.0,0.3481612705713783,2,27.0
1055.0,5,11.0,0.5789473684210527,4.744010023293732,4,31.0,0.25077164409757835,4,31.0
1060.0,3,22.0,1.2222222222222223,3.941951434815986,3,46.0,0.1749586216253642,3,46.0
1065.0,5,16.0,0.7619047619047619,5.22818554328863,5,49.0,0.27818518091480243,5,49.0
1070.0,9,54.0,2.8421052631578947,5.136796069920177,9,73.0,0.2559259369732318,9,73.0
1075.0,8,40.0,2.0,4.5385293514669645,8,77.0,0.2354911044365112,8,77.0
1080.0,3,19.0,0.95,6.068977834963901,3,73.0,0.28587906292548293,3,73.0
1085.0,3,24.0,1.263157894736842,6.194822218541933,3,73.0,0.3515515431508648,3,73.0
1090.0,1,2.0,0.10526315789473684,5.54216616915444,1,57.0,0.3455499653976172,1,57.0
1095.0,5,20.0,1.0526315789473684,6.262375334826769,5,69.0,0.3646392642790195,5,69.0
1100.0,5,25.0,1.25,6.142612062540261,5,77.0,0.25979585066605027,5,77.0
1105.0,2,17.0,0.9444444444444444,5.95495001021234,2,70.0,0.2921974946883989,2,70.0
1110.0,5,36.0,1.894736842105263,6.338288767760869,5,89.0,0.3803684147013912,5,89.0
1115.0,6,48.0,2.6666666666666665,4.962820096382602,6,96.0,0.20377175441856066,6,96.0
1120.0,3,12.0,0.6666666666666666,4.594806820931821,3,79.0,0.13886391613466653,3,79.0
1125.0,4,19.0,1.0,5.629395363029921,4,83.0,0.32650054201640494,4,83.0
1130.0,5,43.0,2.15,4.729433986922854,5,101.0,0.2966649334096351,5,101.0
1135.0,5,18.0,0.75,4.5287259038673335,4,78.0,0.27312906619920413,4,78.0
1140.0,4,19.0,0.7037037037037037,5.059608166908741,4,66.0,0.2668991277565808,4,66.0
1145.0,5,18.0,0.6428571428571429,4.386349924075907,4,75.0,0.22026435456882762,4,75.0
1150.0,6,22.0,0.7857142857142857,3.695286213637014,6,88.0,0.21556850058071794,6,88.0
1155.0,7,25.0,0.8064516129032258,4.818431788064504,6,85.0,0.3047955436998308,6,85.0
1160.0,8,36.0,1.125,5.182921583229215,8,107.0,0.2555995614791581,8,107.0
1165.0,9,32.0,1.103448275862069,4.0621507454828745,9,127.0,0.12437719983642828,9,127.0
