step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.412160791007294,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9791565687295566,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,9.848640482586168,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7663682699852674,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,4.0,0.3333333333333333,8.46490896955727,0,0.0,1.0,0,0.0,1.0,2,4.0,0.5997344677613053,0,0.0,1.0,0,0.0,1.0,2,4.0
20.0,1,9.0,0.6,9.29512656770932,0,0.0,1.0,0,0.0,1.0,1,9.0,0.6800549502190523,0,0.0,1.0,0,0.0,1.0,1,9.0
25.0,2,16.0,0.9411764705882353,8.017304184622805,0,0.0,1.0,0,0.0,1.0,2,16.0,0.4593010575043813,0,0.0,1.0,0,0.0,1.0,2,16.0
30.0,4,31.0,1.7222222222222223,8.519206699654,0,0.0,1.0,0,0.0,1.0,4,31.0,0.5100731461595314,0,0.0,1.0,0,0.0,1.0,4,31.0
35.0,4,51.0,3.4,7.125819977731518,0,0.0,1.0,0,0.0,1.0,4,51.0,0.2926128959806087,0,0.0,1.0,0,0.0,1.0,4,51.0
40.0,5,75.0,5.357142857142857,5.9957083928096795,0,0.0,1.0,0,0.0,1.0,5,75.0,0.2683586360973634,0,0.0,1.0,0,0.0,1.0,5,75.0
45.0,5,100.0,7.142857142857143,6.65027687087611,0,0.0,1.0,0,0.0,1.0,5,100.0,0.41699215271908874,0,0.0,1.0,0,0.0,1.0,5,100.0
50.0,6,126.0,9.692307692307692,5.028759848048145,0,0.0,1.0,0,0.0,1.0,6,126.0,0.1921697176254915,0,0.0,1.0,0,0.0,1.0,6,126.0
55.0,8,159.0,10.6,5.428523717125445,0,0.0,1.0,0,0.0,1.0,8,159.0,0.2632942883176707,0,0.0,1.0,0,0.0,1.0,8,159.0
60.0,7,194.0,10.777777777777779,6.350693692177368,0,0.0,1.0,0,0.0,1.0,7,194.0,0.42022370639975704,0,0.0,1.0,0,0.0,1.0,7,194.0
65.0,8,230.0,10.952380952380953,5.678371771553197,0,0.0,1.0,0,0.0,1.0,8,230.0,0.32456766023080763,0,0.0,1.0,0,0.0,1.0,8,230.0
