step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.372473843009086,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9566145394624468,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,10.427173580523142,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7637291311450835,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,1,3.0,0.375,10.853812479358176,0,0.0,1.0,0,0.0,1.0,1,3.0,0.6966404240124418,0,0.0,1.0,0,0.0,1.0,1,3.0
20.0,1,8.0,0.7272727272727273,11.236591935898149,0,0.0,1.0,0,0.0,1.0,1,8.0,0.7861931383370747,0,0.0,1.0,0,0.0,1.0,1,8.0
25.0,2,14.0,1.2727272727272727,8.296074315238036,0,0.0,1.0,0,0.0,1.0,2,14.0,0.6422528189871326,0,0.0,1.0,0,0.0,1.0,2,14.0
30.0,2,24.0,2.0,8.186721677453741,0,0.0,1.0,0,0.0,1.0,2,24.0,0.5675887271742297,0,0.0,1.0,0,0.0,1.0,2,24.0
35.0,2,34.0,3.090909090909091,7.591119477036486,0,0.0,1.0,0,0.0,1.0,2,34.0,0.4132840945115769,0,0.0,1.0,0,0.0,1.0,2,34.0
40.0,2,44.0,4.0,8.283153629169272,0,0.0,1.0,0,0.0,1.0,2,44.0,0.4769253135963707,0,0.0,1.0,0,0.0,1.0,2,44.0
45.0,3,56.0,5.090909090909091,5.512447806574612,0,0.0,1.0,0,0.0,1.0,3,56.0,0.2896653737421551,0,0.0,1.0,0,0.0,1.0,3,56.0
50.0,3,71.0,7.1,7.0336591009930345,0,0.0,1.0,0,0.0,1.0,3,71.0,0.4704135718942441,0,0.0,1.0,0,0.0,1.0,3,71.0
55.0,4,87.0,7.909090909090909,5.372103602101893,0,0.0,1.0,0,0.0,1.0,4,87.0,0.25939979038533645,0,0.0,1.0,0,0.0,1.0,4,87.0
60.0,6,117.0,9.0,6.451292228147297,0,0.0,1.0,0,0.0,1.0,6,117.0,0.35384945751310914,0,0.0,1.0,0,0.0,1.0,6,117.0
65.0,6,147.0,10.5,5.343668184705008,0,0.0,1.0,0,0.0,1.0,6,147.0,0.2567682378177048,0,0.0,1.0,0,0.0,1.0,6,147.0
70.0,7,180.0,11.25,5.853670415592234,0,0.0,1.0,0,0.0,1.0,7,180.0,0.23374452373348545,0,0.0,1.0,0,0.0,1.0,7,180.0
75.0,8,220.0,14.666666666666666,5.4616936517157475,0,0.0,1.0,0,0.0,1.0,8,220.0,0.32306965779000546,0,0.0,1.0,0,0.0,1.0,8,220.0
80.0,9,261.0,14.5,4.570371186334119,0,0.0,1.0,0,0.0,1.0,9,261.0,0.22012171770791933,0,0.0,1.0,0,0.0,1.0,9,261.0
85.0,10,310.0,14.090909090909092,5.072339383385738,0,0.0,1.0,0,0.0,1.0,10,310.0,0.3029855666097608,0,0.0,1.0,0,0.0,1.0,10,310.0
90.0,11,363.0,15.125,5.090595093776879,0,0.0,1.0,0,0.0,1.0,11,363.0,0.29602584162325696,0,0.0,1.0,0,0.0,1.0,11,363.0
95.0,15,431.0,17.24,2.6773373729612944,0,0.0,1.0,0,0.0,1.0,15,431.0,0.09152929926880397,0,0.0,1.0,0,0.0,1.0,15,431.0
100.0,17,512.0,20.48,3.3565944300277963,0,0.0,1.0,0,0.0,1.0,17,512.0,0.1286055868443718,0,0.0,1.0,0,0.0,1.0,17,512.0
105.0,17,597.0,24.875,3.1219418945167345,0,0.0,1.0,0,0.0,1.0,17,597.0,0.14306490709837003,0,0.0,1.0,0,0.0,1.0,17,597.0
110.0,18,683.0,31.045454545454547,1.9514195535163785,0,0.0,1.0,0,0.0,1.0,18,683.0,0.00014110826850638624,0,0.0,1.0,0,0.0,1.0,18,683.0
115.0,17,767.0,30.68,3.7674138913016293,0,0.0,1.0,0,0.0,1.0,17,767.0,0.15165352460238382,0,0.0,1.0,0,0.0,1.0,17,767.0
120.0,18,853.0,35.541666666666664,2.5541409014980547,0,0.0,1.0,0,0.0,1.0,18,853.0,0.0941066590716674,0,0.0,1.0,0,0.0,1.0,18,853.0
125.0,18,943.0,34.925925925925924,4.0488621625387955,0,0.0,1.0,0,0.0,1.0,18,943.0,0.20626434101111424,0,0.0,1.0,0,0.0,1.0,18,943.0
130.0,18,1033.0,38.25925925925926,2.688759614964571,0,0.0,1.0,0,0.0,1.0,18,1033.0,0.1480257855386428,0,0.0,1.0,0,0.0,1.0,18,1033.0
135.0,18,1123.0,38.724137931034484,3.7544695913870707,0,0.0,1.0,0,0.0,1.0,18,1123.0,0.19639722393444659,0,0.0,1.0,0,0.0,1.0,18,1123.0
140.0,18,1213.0,39.12903225806452,4.008971408460659,0,0.0,1.0,0,0.0,1.0,18,1213.0,0.18520513949275214,0,0.0,1.0,0,0.0,1.0,18,1213.0
145.0,18,1303.0,42.03225806451613,3.2484783745752197,0,0.0,1.0,0,0.0,1.0,18,1303.0,0.12410995101287828,0,0.0,1.0,0,0.0,1.0,18,1303.0
150.0,22,1402.0,42.484848484848484,3.5160815112252792,0,0.0,1.0,0,0.0,1.0,21,1400.0,0.15821704220667676,0,0.0,1.0,0,0.0,1.0,21,1400.0
155.0,20,1500.0,41.666666666666664,4.001192435584269,0,0.0,1.0,0,0.0,1.0,20,1500.0,0.19658702630484642,0,0.0,1.0,0,0.0,1.0,20,1500.0
160.0,22,1606.0,43.4054054054054,4.499718061855385,0,0.0,1.0,0,0.0,1.0,22,1606.0,0.2342013992083807,0,0.0,1.0,0,0.0,1.0,22,1606.0
165.0,22,1716.0,50.470588235294116,3.3724772749643828,0,0.0,1.0,0,0.0,1.0,22,1716.0,0.10871106990021995,0,0.0,1.0,0,0.0,1.0,22,1716.0
170.0,23,1828.0,55.39393939393939,2.969925321434578,0,0.0,1.0,0,0.0,1.0,22,1826.0,0.06153982034551808,0,0.0,1.0,0,0.0,1.0,22,1826.0
175.0,22,1936.0,58.666666666666664,3.6877848030985856,0,0.0,1.0,0,0.0,1.0,22,1936.0,0.20181116232034582,0,0.0,1.0,0,0.0,1.0,22,1936.0
180.0,22,2046.0,56.833333333333336,4.438883528467684,0,0.0,1.0,0,0.0,1.0,22,2046.0,0.2423505749888871,0,0.0,1.0,0,0.0,1.0,22,2046.0
185.0,22,2156.0,59.888888888888886,3.6244981256608764,0,0.0,1.0,0,0.0,1.0,22,2156.0,0.1753337006722972,0,0.0,1.0,0,0.0,1.0,22,2156.0
190.0,23,2267.0,64.77142857142857,3.204976376288668,0,0.0,1.0,0,0.0,1.0,22,2266.0,0.0981204807397111,0,0.0,1.0,0,0.0,1.0,22,2266.0
195.0,22,2376.0,69.88235294117646,4.085322519045792,0,0.0,1.0,0,0.0,1.0,22,2376.0,0.14039808935907871,0,0.0,1.0,0,0.0,1.0,22,2376.0
200.0,22,2486.0,82.86666666666666,2.961008884793103,0,0.0,1.0,0,0.0,1.0,22,2486.0,0.06322606351897485,0,0.0,1.0,0,0.0,1.0,22,2486.0
205.0,22,2596.0,89.51724137931035,3.2886391088988036,0,0.0,1.0,0,0.0,1.0,22,2596.0,0.11788735601969515,0,0.0,1.0,0,0.0,1.0,22,2596.0
210.0,22,2706.0,90.2,3.331367792779988,0,0.0,1.0,0,0.0,1.0,22,2706.0,0.23716659831234763,0,0.0,1.0,0,0.0,1.0,22,2706.0
215.0,22,2816.0,90.83870967741936,3.5165043840071544,0,0.0,1.0,0,0.0,1.0,22,2816.0,0.10988163627549534,0,0.0,1.0,0,0.0,1.0,22,2816.0
220.0,23,2928.0,94.45161290322581,3.01925862516004,0,0.0,1.0,0,0.0,1.0,22,2926.0,0.13616671518359025,0,0.0,1.0,0,0.0,1.0,22,2926.0
225.0,22,3036.0,97.93548387096774,2.9421838336126083,0,0.0,1.0,0,0.0,1.0,22,3036.0,0.17340055266809104,0,0.0,1.0,0,0.0,1.0,22,3036.0
230.0,23,3147.0,95.36363636363636,3.282298334891749,0,0.0,1.0,0,0.0,1.0,22,3146.0,0.1636656024211904,0,0.0,1.0,0,0.0,1.0,22,3146.0
235.0,22,3256.0,98.66666666666667,2.9763860095492465,0,0.0,1.0,0,0.0,1.0,22,3256.0,0.11402229673435572,0,0.0,1.0,0,0.0,1.0,22,3256.0
240.0,22,3366.0,108.58064516129032,2.5302571804751333,0,0.0,1.0,0,0.0,1.0,22,3366.0,0.07032788188871512,0,0.0,1.0,0,0.0,1.0,22,3366.0
245.0,22,3476.0,112.12903225806451,2.597984223823845,0,0.0,1.0,0,0.0,1.0,22,3476.0,0.060094749000974626,0,0.0,1.0,0,0.0,1.0,22,3476.0
250.0,22,3586.0,123.65517241379311,3.0314971396982697,0,0.0,1.0,0,0.0,1.0,22,3586.0,0.1106242483356753,0,0.0,1.0,0,0.0,1.0,22,3586.0
