step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.976924002750625,0,0.0,0.9809525349607823,0,0.0
10.0,0,0.0,0.0,12.8055943191358,0,0.0,0.9427755113890625,0,0.0
15.0,0,0.0,0.0,10.10592779314005,0,0.0,0.744102816565227,0,0.0
20.0,0,0.0,0.0,8.300010332806298,0,0.0,0.502832089792138,0,0.0
25.0,1,5.0,0.5555555555555556,9.334792879028797,1,5.0,0.5679410323471284,1,5.0
30.0,0,0.0,0.0,7.2746096125843005,0,0.0,0.4730950083994867,0,0.0
35.0,1,5.0,0.625,9.363801727998135,1,5.0,0.5411757394724747,1,5.0
40.0,0,0.0,0.0,10.632431904734764,0,0.0,0.7889096097521641,0,0.0
45.0,1,4.0,0.4,8.992840854812474,1,4.0,0.5608227380588409,1,4.0
50.0,4,14.0,1.0769230769230769,8.152938299051582,4,14.0,0.49843642136234134,4,14.0
55.0,1,2.0,0.13333333333333333,7.433418921368396,1,13.0,0.4867144905036577,1,13.0
60.0,2,8.0,0.6153846153846154,7.859895623012935,2,8.0,0.44291669928314276,2,8.0
65.0,2,2.0,0.14285714285714285,7.947421755838431,2,2.0,0.39130095875052984,2,2.0
70.0,3,17.0,1.3076923076923077,6.974056720104692,3,17.0,0.40680809860071676,3,17.0
75.0,1,1.0,0.07142857142857142,7.134066790605125,0,4.0,0.48082912668637845,0,4.0
80.0,0,0.0,0.0,7.176407692226719,0,0.0,0.37369530899111386,0,0.0
85.0,1,2.0,0.14285714285714285,7.17031440093308,1,2.0,0.33525722625774296,1,2.0
90.0,2,2.0,0.18181818181818182,8.665736833997236,1,1.0,0.6305600722585765,1,1.0
95.0,2,9.0,0.8181818181818182,8.044787043134082,2,9.0,0.5095435424324911,2,9.0
100.0,0,0.0,0.0,6.570566319773537,0,4.0,0.3339537489422689,0,4.0
105.0,2,6.0,0.42857142857142855,8.216151613780854,1,4.0,0.6205761811573232,1,4.0
