step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.89814287436662,0,0.0,1.0,0,0.0,1.0,0,0.0,0.945659724300673,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,11.921064277835255,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8161431322168241,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,1,5.0,0.5,10.925822339525247,0,0.0,1.0,0,0.0,1.0,1,5.0,0.7720081156412952,0,0.0,1.0,0,0.0,1.0,1,5.0
20.0,2,11.0,0.6875,8.719357655596417,0,0.0,1.0,0,0.0,1.0,1,10.0,0.6678309962282005,0,0.0,1.0,0,0.0,1.0,1,10.0
25.0,2,19.0,1.1176470588235294,8.823435550026922,0,0.0,1.0,0,0.0,1.0,2,19.0,0.5762133502912344,0,0.0,1.0,0,0.0,1.0,2,19.0
30.0,4,35.0,1.9444444444444444,6.3894419264031,0,0.0,1.0,0,0.0,1.0,4,35.0,0.4079932165476381,0,0.0,1.0,0,0.0,1.0,4,35.0
35.0,6,63.0,3.0,7.629316884788554,0,0.0,1.0,0,0.0,1.0,6,63.0,0.487529695547586,0,0.0,1.0,0,0.0,1.0,6,63.0
40.0,7,94.0,4.7,5.522942769462483,0,0.0,1.0,0,0.0,1.0,7,94.0,0.24037333008177922,0,0.0,1.0,0,0.0,1.0,7,94.0
45.0,6,123.0,6.833333333333333,5.297667670788898,0,0.0,1.0,0,0.0,1.0,6,124.0,0.22105180256794923,0,0.0,1.0,0,0.0,1.0,6,124.0
50.0,8,157.0,9.235294117647058,5.642444159021436,0,0.0,1.0,0,0.0,1.0,8,157.0,0.28179079284297837,0,0.0,1.0,0,0.0,1.0,8,157.0
55.0,9,198.0,11.0,5.1834349722098265,0,0.0,1.0,0,0.0,1.0,9,198.0,0.2654835909618671,0,0.0,1.0,0,0.0,1.0,9,198.0
60.0,11,248.0,13.052631578947368,3.9995412773208576,0,0.0,1.0,0,0.0,1.0,11,248.0,0.20400786755188144,0,0.0,1.0,0,0.0,1.0,11,248.0
65.0,13,307.0,16.157894736842106,3.1290358822128312,0,0.0,1.0,0,0.0,1.0,13,307.0,0.10291613847657165,0,0.0,1.0,0,0.0,1.0,13,307.0
70.0,14,373.0,16.217391304347824,4.099744661935969,0,0.0,1.0,0,0.0,1.0,14,373.0,0.22931243089024794,0,0.0,1.0,0,0.0,1.0,14,373.0
75.0,15,445.0,18.541666666666668,3.0844336438744677,0,0.0,1.0,0,0.0,1.0,15,445.0,0.16425683870022223,0,0.0,1.0,0,0.0,1.0,15,445.0
80.0,16,525.0,21.0,1.6010003500068961,0,0.0,1.0,0,0.0,1.0,16,525.0,0.025285917336256663,0,0.0,1.0,0,0.0,1.0,16,525.0
85.0,18,611.0,23.5,2.897397698914064,0,0.0,1.0,0,0.0,1.0,18,611.0,0.0710407014404081,0,0.0,1.0,0,0.0,1.0,18,611.0
90.0,19,705.0,27.115384615384617,2.98153119024291,0,0.0,1.0,0,0.0,1.0,19,705.0,0.14779069344503037,0,0.0,1.0,0,0.0,1.0,19,705.0
95.0,19,800.0,29.62962962962963,2.641497502473129,0,0.0,1.0,0,0.0,1.0,19,800.0,0.1295944569905644,0,0.0,1.0,0,0.0,1.0,19,800.0
100.0,21,902.0,31.103448275862068,2.996077831671481,0,0.0,1.0,0,0.0,1.0,21,902.0,0.13817317835538132,0,0.0,1.0,0,0.0,1.0,21,902.0
105.0,21,1007.0,32.483870967741936,3.919832428751461,0,0.0,1.0,0,0.0,1.0,21,1007.0,0.19347292799616778,0,0.0,1.0,0,0.0,1.0,21,1007.0
110.0,21,1112.0,34.75,3.1542115916418,0,0.0,1.0,0,0.0,1.0,21,1112.0,0.1375534904530079,0,0.0,1.0,0,0.0,1.0,21,1112.0
115.0,22,1218.0,38.0625,3.2345558860990087,0,0.0,1.0,0,0.0,1.0,22,1218.0,0.11614926514181051,0,0.0,1.0,0,0.0,1.0,22,1218.0
