step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.295902121257724,0,0.0,0.9302421933288959,0,0.0
10.0,1,1.0,0.14285714285714285,5.63554393230105,1,1.0,0.4261588464933864,1,1.0
15.0,5,18.0,1.8,4.482432437246472,5,18.0,0.3117851115968487,5,18.0
20.0,6,44.0,3.6666666666666665,4.503622368745613,6,44.0,0.2469512146841506,6,44.0
25.0,8,78.0,6.5,2.690819038281891,8,78.0,0.10573651013885801,8,78.0
30.0,3,19.0,1.2666666666666666,5.424340220524993,3,76.0,0.35677775394603994,3,76.0
35.0,2,3.0,0.17647058823529413,6.7598624866515955,2,25.0,0.38235970619390813,2,25.0
40.0,4,18.0,1.0588235294117647,7.931300913639255,4,25.0,0.4190067982197113,4,25.0
45.0,3,4.0,0.26666666666666666,5.0842206204421565,2,17.0,0.30311661690051095,2,17.0
50.0,4,21.0,1.6153846153846154,6.298676270935549,4,28.0,0.30935278291431095,4,28.0
55.0,5,42.0,2.8,7.399516363125878,5,49.0,0.3953850703448899,5,49.0
60.0,5,67.0,5.583333333333333,7.169927334896381,5,74.0,0.3957828320095877,5,74.0
65.0,6,93.0,7.75,4.828666669466371,5,99.0,0.25636631195713744,5,99.0
70.0,2,39.0,2.7857142857142856,7.636526757811524,2,87.0,0.5572529179281357,2,87.0
75.0,1,2.0,0.11764705882352941,7.013109912962924,1,66.0,0.4689110374202714,1,66.0
80.0,2,4.0,0.2222222222222222,5.981552265275857,2,71.0,0.32786556271834977,2,71.0
85.0,5,22.0,1.2222222222222223,7.640836869030222,5,87.0,0.4380551248509248,5,87.0
90.0,4,35.0,2.3333333333333335,5.588834222924021,4,101.0,0.32158933574530846,4,101.0
95.0,5,56.0,4.0,5.543909285138009,4,119.0,0.10277060043397894,4,119.0
100.0,2,14.0,0.9333333333333333,8.105608262037055,2,91.0,0.48632734233090424,2,91.0
105.0,2,8.0,0.6153846153846154,8.281061777070823,2,20.0,0.5156615718543729,2,20.0
110.0,1,4.0,0.3076923076923077,5.58203464627722,1,17.0,0.262240194685891,1,17.0
115.0,4,22.0,1.8333333333333333,6.997650859921719,4,34.0,0.21227568402401564,4,34.0
120.0,4,42.0,3.5,7.370158448958676,4,54.0,0.29614414407059764,4,54.0
125.0,5,64.0,5.818181818181818,5.896157850034109,5,76.0,0.4179519453589266,5,76.0
130.0,2,12.0,0.8,5.860339185494748,2,47.0,0.3897976419281082,2,47.0
135.0,3,11.0,0.6111111111111112,7.0668844189952145,3,24.0,0.39427797334161047,3,24.0
140.0,4,6.0,0.2727272727272727,7.6777557953142805,3,27.0,0.47295440157434115,3,27.0
145.0,7,30.0,1.3636363636363635,4.107627602018976,7,43.0,0.23849665643770415,7,43.0
150.0,9,71.0,3.380952380952381,4.283354909709271,9,84.0,0.11678532850524093,9,84.0
155.0,8,45.0,1.9565217391304348,4.627041960549327,8,96.0,0.2512427652571915,8,96.0
160.0,2,14.0,0.6363636363636364,6.6534150553997655,2,61.0,0.33506189434481837,2,61.0
165.0,4,6.0,0.2608695652173913,5.350611811119289,3,55.0,0.275160599519033,3,55.0
170.0,8,38.0,1.6521739130434783,6.074329843571073,8,85.0,0.3475680849380342,8,85.0
175.0,8,33.0,1.5714285714285714,2.886946221311374,8,93.0,0.10432962646413999,8,93.0
180.0,7,41.0,1.7083333333333333,4.212999197841589,7,82.0,0.21093550845818382,7,82.0
185.0,5,15.0,0.625,4.731181934805025,4,83.0,0.30120167128199404,4,83.0
190.0,8,44.0,1.6296296296296295,6.324501951220153,7,93.0,0.361244319937415,7,93.0
195.0,5,28.0,1.0769230769230769,4.933764685055085,4,80.0,0.2721755564576833,4,80.0
200.0,10,45.0,1.6071428571428572,3.302778464123718,9,96.0,0.15999507921242795,9,96.0
205.0,12,88.0,3.259259259259259,3.7005015882882666,12,114.0,0.13322383458963113,12,114.0
210.0,14,153.0,5.464285714285714,4.603294499403921,14,162.0,0.16227409907429563,14,162.0
215.0,16,226.0,9.04,3.226547523159898,16,235.0,0.11234613914444583,16,235.0
220.0,8,78.0,3.391304347826087,3.1387305463195947,7,190.0,0.12059297785811773,7,190.0
225.0,5,20.0,0.8695652173913043,5.40913387103749,3,134.0,0.2737582886083574,3,134.0
230.0,4,24.0,1.0909090909090908,5.55468732566034,4,104.0,0.18428561957008432,4,104.0
235.0,4,14.0,0.7777777777777778,5.164287998787863,4,95.0,0.1801395974751278,4,95.0
240.0,8,44.0,2.4444444444444446,4.852798605181089,8,125.0,0.192131783865654,8,125.0
245.0,11,91.0,4.7894736842105265,5.021449066151808,11,172.0,0.30588430245883963,11,172.0
250.0,6,36.0,1.565217391304348,4.335221144049597,5,139.0,0.29054726276225556,5,139.0
255.0,4,14.0,0.5833333333333334,5.7851224209085865,3,82.0,0.3394283864627062,3,82.0
260.0,0,0.0,0.0,4.721662590157642,0,82.0,0.22019427453272766,0,82.0
265.0,11,32.0,1.3333333333333333,3.975080433870167,10,106.0,0.17113345172463235,10,106.0
270.0,5,9.0,0.34615384615384615,4.113418152854724,4,79.0,0.20121884071020602,4,79.0
275.0,8,25.0,1.0,4.3704688777289435,8,62.0,0.13555131822114147,8,62.0
280.0,3,16.0,0.6153846153846154,5.426746046498348,3,64.0,0.23752235591655785,3,64.0
285.0,6,23.0,1.0,4.457175148588589,6,72.0,0.2670207292228788,6,72.0
290.0,8,60.0,2.3076923076923075,5.560300325484108,8,93.0,0.3215037855522262,8,93.0
295.0,6,32.0,1.1428571428571428,5.552127064674408,5,83.0,0.3173523853851338,5,83.0
300.0,7,29.0,1.0740740740740742,5.1072034110244395,6,90.0,0.21870671499859304,6,90.0
305.0,6,26.0,1.0,5.007331493868492,5,104.0,0.2225923458408387,5,104.0
310.0,5,20.0,0.8695652173913043,5.107649575082545,5,90.0,0.24360761519791618,5,90.0
315.0,3,9.0,0.42857142857142855,4.719027246760963,3,81.0,0.1399270213341729,3,81.0
