step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.939341914630495,0,0.0,0.9292894609753664,0,0.0
10.0,0,0.0,0.0,12.02535088108005,0,0.0,0.9113532501224688,0,0.0
15.0,0,0.0,0.0,10.518922020264824,0,0.0,0.8507898526079289,0,0.0
20.0,0,0.0,0.0,10.95627770813275,0,0.0,0.8482558986747737,0,0.0
25.0,2,2.0,0.18181818181818182,6.973898347582598,2,2.0,0.37860886492972307,2,2.0
30.0,1,1.0,0.0625,10.25507041198014,1,1.0,0.7400686140220898,1,1.0
35.0,3,9.0,0.6428571428571429,7.495719166533585,3,9.0,0.4939244562663587,3,9.0
40.0,3,3.0,0.1875,5.535833821546673,2,13.0,0.36866932227457433,2,13.0
45.0,3,13.0,0.8125,5.428468630961413,3,18.0,0.32024035010365737,3,18.0
50.0,5,29.0,1.7058823529411764,6.764781305187781,4,28.0,0.44790748710983924,4,28.0
55.0,6,53.0,2.9444444444444446,6.10123233605291,6,53.0,0.34156677164150767,6,53.0
60.0,3,16.0,0.8888888888888888,5.356589578921894,3,44.0,0.3437586844503353,3,44.0
65.0,6,25.0,1.25,3.4961563265592703,6,50.0,0.20138757320484826,6,50.0
70.0,4,5.0,0.23809523809523808,4.9924105610616305,3,48.0,0.26633863824082976,3,48.0
75.0,6,23.0,1.0,6.549548124375434,6,48.0,0.34090749007267246,6,48.0
80.0,3,9.0,0.45,7.00477865286593,3,43.0,0.38101797505555984,3,43.0
85.0,5,25.0,1.3157894736842106,6.344862277827603,5,31.0,0.3608598162370233,5,31.0
90.0,2,7.0,0.3333333333333333,6.225362764902317,2,29.0,0.3052956600620131,2,29.0
95.0,4,24.0,1.263157894736842,7.984163738420892,4,36.0,0.418204391302254,4,36.0
100.0,6,51.0,3.0,6.205639711420794,6,57.0,0.29253978393503977,6,57.0
105.0,1,10.0,0.5882352941176471,6.186186803716066,1,43.0,0.24935648141468225,1,43.0
110.0,2,4.0,0.2857142857142857,8.339435289622982,2,14.0,0.4343615263269175,2,14.0
115.0,3,6.0,0.46153846153846156,6.629363105127668,3,16.0,0.30215723491881397,3,16.0
120.0,4,26.0,1.7333333333333334,8.40688636049459,4,36.0,0.5280489726056087,4,36.0
125.0,2,2.0,0.1,6.284609460671828,2,20.0,0.4164121344511406,2,20.0
130.0,5,20.0,0.9090909090909091,6.147912554471565,5,20.0,0.3477055415025777,5,20.0
135.0,1,2.0,0.09523809523809523,3.883882634674956,1,16.0,0.25599968329367173,1,16.0
140.0,8,25.0,1.1363636363636365,4.82669775240955,7,29.0,0.22370558920564965,7,29.0
145.0,7,56.0,2.4347826086956523,5.833424941121719,7,56.0,0.2552146153216828,7,56.0
150.0,10,100.0,4.761904761904762,5.829467777552148,10,100.0,0.24751761768676053,10,100.0
155.0,10,150.0,6.818181818181818,6.435048556490655,10,150.0,0.36224004059796444,10,150.0
160.0,10,200.0,9.523809523809524,5.0647411628036645,10,200.0,0.2751522277378716,10,200.0
165.0,6,115.0,5.0,6.293715752275982,6,184.0,0.32276388377944276,6,184.0
170.0,4,15.0,0.625,7.355726628271451,4,139.0,0.42303233326100537,4,139.0
175.0,1,1.0,0.047619047619047616,4.821975732881031,1,137.0,0.1820265402205326,1,137.0
180.0,7,25.0,1.25,5.265329434206298,6,150.0,0.24766329602941056,6,150.0
185.0,7,21.0,1.1666666666666667,3.937895504524301,7,142.0,0.14209432135328026,7,142.0
190.0,6,33.0,1.9411764705882353,5.710477767169387,6,67.0,0.10010832569958014,6,67.0
195.0,7,67.0,4.1875,6.760340275933926,7,70.0,0.22811053719257343,7,70.0
200.0,8,102.0,6.0,4.956397954199171,8,105.0,0.24834444704682765,8,105.0
205.0,1,4.0,0.23529411764705882,4.888457101229239,1,57.0,0.3203349493449353,1,57.0
210.0,3,15.0,0.7894736842105263,7.165932662441345,2,30.0,0.4457564707793779,2,30.0
215.0,2,3.0,0.16666666666666666,6.2960770564823205,2,23.0,0.3591928131749651,2,23.0
220.0,7,27.0,1.4210526315789473,4.86089561463123,7,46.0,0.2721959476289133,7,46.0
225.0,3,4.0,0.2,5.87310991657152,2,25.0,0.4278853323982366,2,25.0
230.0,4,16.0,0.6666666666666666,6.588280955678812,3,23.0,0.4312155411726636,3,23.0
235.0,5,35.0,1.4,5.465465818854907,4,34.0,0.2766343150738022,4,34.0
240.0,3,9.0,0.42857142857142855,5.9075589299619296,3,32.0,0.2929817001881535,3,32.0
245.0,10,43.0,1.72,6.334866617527663,10,47.0,0.31872809983249395,10,47.0
250.0,4,21.0,0.9130434782608695,5.300055012314605,3,55.0,0.28063166204733686,3,55.0
255.0,2,13.0,0.5652173913043478,5.533483570857606,2,48.0,0.2461319312159629,2,48.0
260.0,4,14.0,0.7,5.772249075613702,3,44.0,0.27574938895020423,3,44.0
265.0,9,42.0,2.1,4.3099482341243185,9,77.0,0.14518540479156913,9,77.0
270.0,5,25.0,1.4705882352941178,3.5568571883685682,5,76.0,0.11637425278490371,5,76.0
275.0,3,12.0,0.6666666666666666,5.6996871826961195,2,48.0,0.30600676424650247,2,48.0
280.0,2,20.0,1.1111111111111112,5.7698428112797275,2,55.0,0.3607947848949397,2,55.0
285.0,4,33.0,1.8333333333333333,6.1851766924303995,3,49.0,0.28927780520052043,3,49.0
290.0,2,40.0,2.1052631578947367,6.78881961693542,2,59.0,0.2776371161780557,2,59.0
295.0,3,10.0,0.5,7.301306777265237,3,30.0,0.46768083196353244,3,30.0
300.0,7,35.0,1.8421052631578947,4.858261267338297,7,54.0,0.28308194731503716,7,54.0
305.0,10,79.0,4.157894736842105,4.359227142199523,10,98.0,0.11495038260836618,10,98.0
310.0,13,140.0,7.0,4.043219699430328,13,159.0,0.17504580748615362,13,159.0
315.0,14,206.0,10.3,3.0297813442696944,14,225.0,0.18480514416804047,14,225.0
320.0,8,110.0,5.5,2.8706166691121693,7,210.0,0.09137223958115545,7,210.0
325.0,2,5.0,0.23809523809523808,4.908110191214368,1,152.0,0.20667921006838624,1,152.0
330.0,2,6.0,0.3,4.700284205489676,2,160.0,0.23248593358511932,2,160.0
335.0,10,37.0,1.85,3.8091852288570047,10,191.0,0.14488177673179203,10,191.0
340.0,5,14.0,0.6086956521739131,5.273762232915556,5,153.0,0.3294018955160712,5,153.0
345.0,2,3.0,0.13636363636363635,5.727039910326138,1,78.0,0.32300322016127214,1,78.0
350.0,1,3.0,0.14285714285714285,3.9066712814820876,1,83.0,0.14103557438489436,1,83.0
355.0,9,33.0,1.736842105263158,3.3029408484021214,9,113.0,0.10610762057551267,9,113.0
360.0,12,91.0,4.136363636363637,4.232327701934189,12,171.0,0.21037571155964196,12,171.0
365.0,3,28.0,1.2727272727272727,5.243146531299474,3,112.0,0.3393931632658543,3,112.0
370.0,3,5.0,0.22727272727272727,5.111672585376423,2,69.0,0.23153471725956445,2,69.0
375.0,4,10.0,0.5,5.84560455487596,4,76.0,0.17564502507457128,4,76.0
380.0,10,45.0,2.3684210526315788,3.2738671486031135,10,111.0,0.11196372785923568,10,111.0
385.0,3,13.0,0.6842105263157895,4.991458853007737,3,80.0,0.3956864741802694,3,80.0
390.0,3,5.0,0.25,6.6089725370161005,3,50.0,0.264851602250881,3,50.0
395.0,2,9.0,0.45,5.674030752756225,2,35.0,0.2516944194675047,2,35.0
400.0,3,5.0,0.2631578947368421,5.824297215528971,3,37.0,0.35550723833323367,3,37.0
405.0,7,35.0,1.75,4.853964657505871,7,61.0,0.14198012869202511,7,61.0
410.0,3,15.0,0.6818181818181818,6.212688351194055,3,57.0,0.380435769442876,3,57.0
415.0,1,1.0,0.045454545454545456,8.073893922196644,0,36.0,0.5679197058698536,0,36.0
420.0,1,1.0,0.047619047619047616,5.084020083911638,0,30.0,0.2891317975080082,0,30.0
425.0,7,24.0,1.2,4.515842133631478,7,54.0,0.09934276507593041,7,54.0
430.0,12,74.0,4.111111111111111,2.6433035829100158,12,104.0,0.06810814538065339,12,104.0
435.0,6,34.0,2.0,3.7128809635554463,5,94.0,0.2581843565435718,5,94.0
440.0,2,7.0,0.35,5.86038633453697,2,83.0,0.24369981494229342,2,83.0
445.0,3,15.0,0.8823529411764706,6.598575150156279,3,67.0,0.3639417562494089,3,67.0
450.0,2,3.0,0.1875,4.672250252671738,2,57.0,0.244154804231046,2,57.0
455.0,7,29.0,1.8125,4.7177741361213785,7,83.0,0.23110189301702627,7,83.0
460.0,10,73.0,3.8421052631578947,3.2163548379732854,10,127.0,0.18998678329642638,10,127.0
465.0,6,35.0,1.6666666666666667,5.354564930748412,5,108.0,0.3761724844258949,5,108.0
470.0,2,3.0,0.13636363636363635,5.875601100276285,2,86.0,0.32212361530289185,2,86.0
475.0,3,5.0,0.25,4.779531174385857,3,94.0,0.1992703583130923,3,94.0
480.0,9,38.0,2.0,3.9672794737094623,9,121.0,0.08010121112772832,9,121.0
485.0,5,21.0,1.105263157894737,6.59360379028687,4,102.0,0.4306649743598669,4,102.0
490.0,3,5.0,0.2631578947368421,6.791638404026034,3,108.0,0.3816459696483912,3,108.0
495.0,7,26.0,1.3,4.576461660940413,7,129.0,0.13774385677307213,7,129.0
500.0,10,69.0,3.1363636363636362,6.4917325949908875,10,172.0,0.3751032773927747,10,172.0
505.0,6,39.0,2.0526315789473686,3.95015902992782,5,146.0,0.20768729805791644,5,146.0
510.0,4,11.0,0.5,5.73294100867955,4,130.0,0.2521864784870266,4,130.0
515.0,4,25.0,1.1904761904761905,6.072009761864966,4,106.0,0.26810191682863044,4,106.0
520.0,3,40.0,2.1052631578947367,6.480715206425493,3,70.0,0.3074503287090536,3,70.0
525.0,3,55.0,3.0555555555555554,7.478884352007888,3,60.0,0.3829995820294055,3,60.0
530.0,5,75.0,3.75,6.704549862420725,5,75.0,0.40300841520554403,5,75.0
535.0,5,100.0,5.2631578947368425,5.81903855484594,5,100.0,0.36812592872605465,5,100.0
540.0,7,130.0,6.842105263157895,5.104224846499261,7,130.0,0.190356008929672,7,130.0
545.0,10,172.0,9.052631578947368,4.5470016153073285,10,172.0,0.17725463907681496,10,172.0
550.0,9,217.0,12.055555555555555,5.493607785076097,9,217.0,0.3283285463082505,9,217.0
555.0,8,49.0,2.7222222222222223,2.977505926799724,7,161.0,0.16507282400260395,7,161.0
560.0,3,16.0,0.8888888888888888,3.92030277897717,3,93.0,0.20154876325417798,3,93.0
