step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.89,0,0.0,0.9691800736576855,0,0.0
10.0,0,0.0,0.0,12.937504523822465,0,0.0,0.9850027249954307,0,0.0
15.0,0,0.0,0.0,10.200609544034885,0,0.0,0.9041785088418131,0,0.0
20.0,0,0.0,0.0,11.10639824764484,0,0.0,0.7125324742982944,0,0.0
25.0,1,4.0,0.4,9.688507450147632,1,4.0,0.703796815027412,1,4.0
30.0,0,0.0,0.0,8.76149352732076,0,3.0,0.6258290775866371,0,3.0
35.0,3,9.0,0.75,7.024515347268641,3,9.0,0.45933037498032037,3,9.0
40.0,4,29.0,1.8125,7.045293822149352,4,29.0,0.3360397969340179,4,29.0
45.0,1,1.0,0.058823529411764705,8.89421956845483,1,20.0,0.6017370179227955,1,20.0
50.0,2,8.0,0.47058823529411764,6.515133068728654,2,8.0,0.41175861709026657,2,8.0
55.0,2,3.0,0.2,6.083343472715556,2,11.0,0.28905082524732206,2,11.0
60.0,6,22.0,1.8333333333333333,4.58190866979043,6,22.0,0.04046414362409196,6,22.0
65.0,2,7.0,0.4666666666666667,7.713633994301692,1,24.0,0.5097440287079951,1,24.0
70.0,1,2.0,0.13333333333333333,7.914155751563868,1,14.0,0.5581597086385348,1,14.0
75.0,3,9.0,0.5,5.861622212368386,3,24.0,0.33638589318627227,3,24.0
80.0,5,33.0,1.736842105263158,7.625187966640447,5,48.0,0.4311792645352721,5,48.0
85.0,5,58.0,2.5217391304347827,8.017138163613321,5,73.0,0.5147704279824767,5,73.0
90.0,2,5.0,0.19230769230769232,7.4276733813372084,2,48.0,0.5245770222345763,2,48.0
95.0,7,29.0,1.16,3.371367110826553,7,29.0,0.18070246610817153,7,29.0
100.0,3,7.0,0.25925925925925924,4.5438876886414405,3,37.0,0.19765461048271693,3,37.0
105.0,8,36.0,1.3846153846153846,5.255848359930047,8,51.0,0.2378239259256583,8,51.0
110.0,8,34.0,1.36,5.664141175716136,8,79.0,0.2462805648618788,8,79.0
115.0,9,52.0,2.260869565217391,4.2330166526901705,9,81.0,0.1512144760122811,9,81.0
120.0,3,7.0,0.30434782608695654,4.840882690464529,3,54.0,0.29633046021743337,3,54.0
125.0,5,28.0,1.3333333333333333,5.896050155872037,4,46.0,0.2627191400255408,4,46.0
130.0,7,48.0,2.2857142857142856,7.0762150368675885,7,68.0,0.3197974933102424,7,68.0
135.0,4,20.0,1.1764705882352942,5.418449941457768,4,57.0,0.2520054539728388,4,57.0
140.0,6,37.0,2.176470588235294,5.319775013809785,6,62.0,0.28475903399229086,6,62.0
145.0,2,3.0,0.1875,4.34749754832891,2,36.0,0.18613231303191335,2,36.0
150.0,5,24.0,1.5,6.86555554940839,5,43.0,0.2465759757691506,5,43.0
155.0,6,49.0,3.0625,7.643140126267117,6,68.0,0.3800109013910435,6,68.0
160.0,2,14.0,1.0,5.969783854657543,2,49.0,0.2802094361243359,2,49.0
165.0,4,17.0,1.4166666666666667,3.245204720373859,4,43.0,0.08562613143656565,4,43.0
170.0,1,2.0,0.15384615384615385,7.650046134683095,1,35.0,0.44037023622835303,1,35.0
