step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J0_stopped,J0_accumulated_waiting_time,J0_average_speed,J1_stopped,J1_accumulated_waiting_time,J1_average_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,J2_stopped,J2_accumulated_waiting_time,J2_average_speed,J3_stopped,J3_accumulated_waiting_time,J3_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.734580582775282,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9791469405590507,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,11.251688014263829,0,0.0,1.0,0,0.0,1.0,0,0.0,0.934633991607514,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,1,1.0,0.1,9.34562767169729,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6606758401033198,0,0.0,1.0,0,0.0,1.0,1,1.0
20.0,2,11.0,0.9166666666666666,8.151932394868362,0,0.0,1.0,0,0.0,1.0,2,11.0,0.5218561541664495,0,0.0,1.0,0,0.0,1.0,2,11.0
25.0,2,21.0,1.6153846153846154,8.867671222284818,0,0.0,1.0,0,0.0,1.0,2,21.0,0.5810755413439448,0,0.0,1.0,0,0.0,1.0,2,21.0
30.0,4,36.0,2.5714285714285716,8.269289913537852,0,0.0,1.0,0,0.0,1.0,4,36.0,0.48460657910084454,0,0.0,1.0,0,0.0,1.0,4,36.0
35.0,5,58.0,4.461538461538462,5.76595297191032,0,0.0,1.0,0,0.0,1.0,5,58.0,0.1446623045213852,0,0.0,1.0,0,0.0,1.0,5,58.0
40.0,6,88.0,6.769230769230769,6.2399534219446045,0,0.0,1.0,0,0.0,1.0,6,88.0,0.3659833601368312,0,0.0,1.0,0,0.0,1.0,6,88.0
45.0,7,119.0,8.5,4.967452421443809,0,0.0,1.0,0,0.0,1.0,7,119.0,0.3020458273102718,0,0.0,1.0,0,0.0,1.0,7,119.0
50.0,7,154.0,9.058823529411764,6.970655087635585,0,0.0,1.0,0,0.0,1.0,7,154.0,0.4176199241651305,0,0.0,1.0,0,0.0,1.0,7,154.0
55.0,7,189.0,9.947368421052632,5.057134812862708,0,0.0,1.0,0,0.0,1.0,7,189.0,0.31111596325707386,0,0.0,1.0,0,0.0,1.0,7,189.0
60.0,9,230.0,13.529411764705882,3.804032630820034,0,0.0,1.0,0,0.0,1.0,9,230.0,0.20929828266824152,0,0.0,1.0,0,0.0,1.0,9,230.0
65.0,11,276.0,15.333333333333334,3.934057330403799,0,0.0,1.0,0,0.0,1.0,10,275.0,0.15990087484268264,0,0.0,1.0,0,0.0,1.0,10,275.0
70.0,9,320.0,17.77777777777778,5.513866694551691,0,0.0,1.0,0,0.0,1.0,9,320.0,0.274612204073052,0,0.0,1.0,0,0.0,1.0,9,320.0
