step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,14.236943910286495,0,0.0,0.9946777018705912,0,0.0
10.0,0,0.0,0.0,10.277708882096935,0,0.0,0.9392117836263044,0,0.0
15.0,0,0.0,0.0,11.086848203801432,0,0.0,0.793903826293389,0,0.0
20.0,1,5.0,0.45454545454545453,7.724850091674553,1,5.0,0.46141561180829727,1,5.0
25.0,5,23.0,1.7692307692307692,6.411474907044403,5,23.0,0.44108067610055685,5,23.0
30.0,1,1.0,0.0625,5.298299605401751,0,8.0,0.3977393175727764,0,8.0
35.0,4,13.0,0.7222222222222222,7.965381174435553,2,6.0,0.5562488033704878,2,6.0
40.0,2,9.0,0.5,7.683511947841006,1,6.0,0.48513281970098426,1,6.0
45.0,1,7.0,0.3888888888888889,8.509672958009515,1,7.0,0.5290828002873892,1,7.0
50.0,2,5.0,0.3333333333333333,8.080812076112213,2,7.0,0.45793976246978574,2,7.0
55.0,7,28.0,2.3333333333333335,4.873473873443051,6,26.0,0.20522531198260494,6,26.0
60.0,6,56.0,4.0,6.568353100077664,6,56.0,0.3336333999808515,6,56.0
65.0,7,86.0,5.0588235294117645,4.240585819874304,7,86.0,0.1576182403943716,7,86.0
70.0,1,3.0,0.14285714285714285,6.390891550670918,1,53.0,0.48373151148131777,1,53.0
75.0,2,4.0,0.16,8.25525177024705,1,22.0,0.5501718422311834,1,22.0
80.0,3,11.0,0.44,5.8122374126149206,3,14.0,0.3242656996777812,3,14.0
85.0,3,7.0,0.28,4.481049757908554,3,16.0,0.17832926165113383,3,16.0
90.0,10,46.0,2.1904761904761907,4.49619424564425,10,50.0,0.13991677796343643,10,50.0
95.0,14,107.0,5.35,3.1070255856225004,14,111.0,0.05620076106540656,14,111.0
100.0,4,29.0,1.45,3.4983175399771915,3,103.0,0.19285572150087732,3,103.0
105.0,2,2.0,0.08695652173913043,6.657251555728488,2,56.0,0.3559560348892634,2,56.0
110.0,4,13.0,0.5909090909090909,5.786539870087178,4,68.0,0.27046320393696943,4,68.0
115.0,11,53.0,2.5238095238095237,4.067906373755144,11,108.0,0.1956295365115018,11,108.0
120.0,6,27.0,1.173913043478261,3.568072260053903,6,104.0,0.20863497521712884,6,104.0
125.0,3,7.0,0.28,5.972069319039781,3,68.0,0.30869803375994664,3,68.0
130.0,2,13.0,0.5,7.322673728026555,2,46.0,0.42152578075665936,2,46.0
135.0,7,17.0,0.6538461538461539,5.187428173307884,6,57.0,0.25952012906387734,6,57.0
140.0,12,62.0,2.48,3.3710111802261675,12,104.0,0.19564485267350354,12,104.0
145.0,9,32.0,1.1428571428571428,4.624638183439301,8,105.0,0.2587529168506248,8,105.0
150.0,4,34.0,1.1333333333333333,5.390847093051499,4,84.0,0.26076555712138694,4,84.0
155.0,8,68.0,2.3448275862068964,5.6509497569894505,7,100.0,0.26114065282292026,7,100.0
160.0,6,33.0,1.1785714285714286,4.57000752190922,6,99.0,0.15334371443870798,6,99.0
165.0,7,34.0,1.1333333333333333,5.48503417173539,7,89.0,0.2940428768785027,7,89.0
170.0,7,26.0,0.8666666666666667,4.226368709071422,7,99.0,0.22773661544550064,7,99.0
175.0,9,28.0,0.9333333333333333,3.4677886175531887,9,127.0,0.18910489540285724,9,127.0
180.0,11,62.0,2.2142857142857144,3.0628019705471696,10,137.0,0.08897080575266403,10,137.0
185.0,9,45.0,1.5,3.6717543934316854,8,143.0,0.1252861330614414,8,143.0
190.0,11,42.0,1.5555555555555556,3.806327323860349,10,177.0,0.15955256415470384,10,177.0
195.0,11,44.0,1.6296296296296295,3.078182044536617,10,196.0,0.1507358333551099,10,196.0
