step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,J14_stopped,J14_accumulated_waiting_time,J14_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.838764492516066,0,0.0,0.949742399501071,0,0.0
10.0,0,0.0,0.0,8.821148295968554,0,0.0,0.6567169870353182,0,0.0
15.0,0,0.0,0.0,7.55151971351607,0,0.0,0.45673757082308164,0,0.0
20.0,2,7.0,1.0,9.23876983870096,2,7.0,0.6140787540306649,2,7.0
25.0,0,0.0,0.0,6.721516005870943,0,0.0,0.38371986070667025,0,0.0
30.0,2,7.0,0.875,6.543999288025587,2,7.0,0.021586700474062484,2,7.0
35.0,0,0.0,0.0,7.447538098991437,0,9.0,0.5853321493900844,0,9.0
40.0,0,0.0,0.0,9.772488989847162,0,0.0,0.7661279267164894,0,0.0
45.0,1,1.0,0.08333333333333333,8.145809443583996,1,1.0,0.5358574981920227,1,1.0
50.0,1,6.0,0.42857142857142855,9.91564552952545,1,6.0,0.6872222746769748,1,6.0
55.0,1,11.0,0.5789473684210527,9.84069749577746,1,11.0,0.7112667768926052,1,11.0
60.0,1,1.0,0.05,7.015784851018495,1,5.0,0.4017083288981166,1,5.0
65.0,7,21.0,0.9130434782608695,6.418723144817749,7,21.0,0.39273061391881575,7,21.0
70.0,3,9.0,0.4090909090909091,3.5734741325389536,3,25.0,0.23751073194238803,3,25.0
75.0,7,27.0,1.0384615384615385,4.898690255314718,7,43.0,0.2572069686795526,7,43.0
80.0,5,28.0,1.1666666666666667,4.53585261736293,5,61.0,0.23568917687286797,5,61.0
85.0,8,50.0,2.0833333333333335,4.677338093475945,8,73.0,0.130675291197948,8,73.0
90.0,11,102.0,4.25,4.442331737530356,11,118.0,0.19230811592437977,11,118.0
95.0,7,38.0,1.52,4.3763242458097125,6,111.0,0.2756894354704801,6,111.0
100.0,3,10.0,0.37037037037037035,5.556332871048602,3,76.0,0.32134905946549147,3,76.0
105.0,4,10.0,0.3448275862068966,4.444538722977522,3,75.0,0.23615794949367955,3,75.0
110.0,13,57.0,2.0357142857142856,3.8397261918885386,13,123.0,0.2094822438535617,13,123.0
115.0,7,31.0,0.96875,3.790341116747289,7,122.0,0.15777347811163958,7,122.0
120.0,5,17.0,0.5483870967741935,4.938874011250253,4,93.0,0.2392175361946536,4,93.0
125.0,7,17.0,0.5483870967741935,4.4896525939432665,7,105.0,0.21309775899490518,7,105.0
130.0,16,79.0,2.5483870967741935,2.7485337944342887,16,162.0,0.0894160175156538,16,162.0
135.0,9,50.0,1.6129032258064515,4.373184238257914,8,162.0,0.23748088091056713,8,162.0
140.0,4,16.0,0.5161290322580645,5.271273979277225,4,136.0,0.3126608339437591,4,136.0
145.0,4,18.0,0.6,3.894208638595026,4,137.0,0.13784384966915114,4,137.0
150.0,6,18.0,0.6,3.8961293218742226,6,143.0,0.175362133882385,6,143.0
155.0,16,74.0,2.5517241379310347,2.3362451811767992,16,193.0,0.0801411049943651,16,193.0
160.0,17,156.0,5.379310344827586,2.5211215360219685,17,272.0,0.08181306185104006,17,272.0
165.0,11,93.0,3.0,3.6813717619864064,10,253.0,0.2126053038865263,10,253.0
170.0,10,55.0,1.6666666666666667,5.917426541928365,9,187.0,0.287982659205292,9,187.0
175.0,6,14.0,0.42424242424242425,5.17118858348823,6,196.0,0.24075453553294726,6,196.0
180.0,9,38.0,1.1875,3.274226711311244,9,231.0,0.14081799375289014,9,231.0
185.0,10,35.0,1.1666666666666667,2.4247621245032294,9,205.0,0.13400656512905626,9,205.0
190.0,14,66.0,1.9411764705882353,3.3626591268830484,14,259.0,0.14117419655430258,14,259.0
195.0,12,66.0,1.8857142857142857,4.14840504107468,12,291.0,0.19676095146357536,12,291.0
200.0,14,78.0,2.3636363636363638,3.959015892674968,14,319.0,0.1912661987221769,14,319.0
205.0,10,65.0,2.096774193548387,3.181790394574283,10,306.0,0.12906771221443394,10,306.0
210.0,8,47.0,1.5666666666666667,3.7183495170556635,8,296.0,0.15096769681057653,8,296.0
215.0,9,25.0,0.8620689655172413,4.134761041032062,8,315.0,0.17759885731125633,8,315.0
220.0,11,59.0,2.107142857142857,2.869632644677336,11,343.0,0.11986790822860804,11,343.0
225.0,7,27.0,0.9,3.981046906430385,7,311.0,0.20505365512816773,7,311.0
230.0,10,40.0,1.2903225806451613,4.441820625260946,9,279.0,0.17120349386131023,9,279.0
235.0,6,30.0,1.1538461538461537,3.4283713015172834,6,290.0,0.17233362147993564,6,290.0
240.0,10,42.0,1.5,4.3269178850087675,10,280.0,0.17590397919064193,10,280.0
245.0,9,41.0,1.3666666666666667,4.399708226985117,8,262.0,0.19620927187901238,8,262.0
250.0,10,46.0,1.5862068965517242,5.082935551147067,9,220.0,0.2407558836266834,9,220.0
255.0,7,24.0,0.8275862068965517,5.058514713250993,7,235.0,0.29398086604968116,7,235.0
260.0,10,45.0,1.5,4.5549757595951785,10,242.0,0.2196571739781555,10,242.0
265.0,9,32.0,1.103448275862069,2.135820792523861,8,226.0,0.04557269727720428,8,226.0
270.0,7,34.0,1.0303030303030303,4.678858236445801,7,183.0,0.21906851455367934,7,183.0
275.0,5,46.0,1.4838709677419355,6.55290849800247,5,169.0,0.37014089182935256,5,169.0
280.0,6,69.0,2.4642857142857144,4.769191150484032,6,194.0,0.21766581658092296,6,194.0
285.0,5,18.0,0.6428571428571429,3.4486340951079875,5,176.0,0.12841229580493227,5,176.0
290.0,7,36.0,1.2857142857142858,4.827992923349962,7,151.0,0.19162931860682597,7,151.0
295.0,9,33.0,1.2222222222222223,4.288077035762986,8,135.0,0.20452981131090053,8,135.0
300.0,8,32.0,1.3333333333333333,4.1259610073077555,7,141.0,0.16900873262103552,7,141.0
305.0,0,0.0,0.0,5.448289368395434,0,129.0,0.26543642856003036,0,129.0
310.0,5,17.0,0.7083333333333334,5.635758536361286,5,141.0,0.24549353394209775,5,141.0
315.0,5,16.0,0.8,4.247978795009369,4,125.0,0.12191353391868505,4,125.0
320.0,3,14.0,0.6666666666666666,5.970588762593634,3,92.0,0.2916164731539365,3,92.0
325.0,2,22.0,1.1,7.686568173228956,2,71.0,0.44457047090856355,2,71.0
330.0,4,37.0,2.176470588235294,5.655921082207872,3,61.0,0.3705782825867443,3,61.0
335.0,3,51.0,2.4285714285714284,5.413250377922863,3,78.0,0.26720379277140466,3,78.0
340.0,4,67.0,2.9130434782608696,5.144965481814768,4,85.0,0.32705545478787723,4,85.0
345.0,4,83.0,3.772727272727273,4.490597726991097,4,92.0,0.27805806524654586,4,92.0
350.0,6,110.0,5.0,3.6711396704537944,6,112.0,0.15793314701005473,6,112.0
355.0,8,148.0,6.166666666666667,4.644481347146162,8,148.0,0.18957338734236254,8,148.0
360.0,4,30.0,1.25,4.068808232407464,4,104.0,0.18717735330017954,4,104.0
365.0,7,26.0,1.1304347826086956,4.617092212871746,7,54.0,0.19354644411891886,7,54.0
370.0,9,34.0,1.4782608695652173,4.017913768691835,8,79.0,0.1329084997537483,8,79.0
375.0,5,27.0,1.2272727272727273,5.042768126521657,5,92.0,0.2801003278367751,5,92.0
